p0,p1,p2,p3,p4,p5,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,16,64,3.1459185,1132.2077560424805
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,50,256,2.0886649999999998,1148.7100238800049
 , , ,128,8,16,3.389943,1168.4955315589905
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,4,256,2.22582,1185.3905792236328
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,128,2.2704795,1202.7562863826752
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,20,4.81504,1227.8657445907593
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,50,20,4.818633999999999,1253.3838951587677
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,32,128,2.0424695,1269.9757432937622
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,50,8,11.757305,1317.1148545742035
 , , ,100,50,16,3.3895635,1337.411515712738
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,64,32,5.250602499999999,1364.8130495548248
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,2048,100,2.3873415,1382.1481401920319
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,80,4,11.1376985,1426.7520139217377
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,32,3.7257664999999998,1447.982653617859
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,100,50,4.14858,1471.404247045517
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,32,3.933841,1494.3066630363464
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,8,4.151557,1518.6040115356445
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,32,128,2.0164014999999997,1534.8386931419373
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,50,4.201644,1558.9744021892548
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,256,1.737117,1573.962768793106
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,20,4.7729155,1599.3294837474823
 , , ,64,64,50,2.8535395,1619.266226530075
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,4,20,4.310306,1643.323448896408
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,32,4.153573,1668.5240154266357
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,4,3.812026,1689.7541236877441
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,2048,80,4.28468,1713.2143142223358
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,128,3.7515289999999997,1735.4906759262085
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,128,3.3566915,1755.9231288433075
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,128,3.3358795,1776.6664323806763
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,128,256,2.075181,1792.9083116054535
