p0,p1,p2,p3,p4,p5,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,20,0.000377,432.4402244091034
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,16,64,0.0006425,442.7597744464874
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,50,256,0.0005009999999999999,452.793776512146
 , , ,128,8,16,0.0002525,462.23285150527954
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,4,256,0.000612,473.1062297821045
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,128,0.0005005000000000001,482.80874133110046
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,20,0.0006745,493.01754426956177
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,50,20,0.0004725,503.03128719329834
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,32,128,0.000469,512.8529627323151
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,50,8,0.0023385,523.6148204803467
 , , ,100,50,16,0.0002575,533.0042352676392
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,64,32,0.0006805,543.6887884140015
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,2048,100,0.000465,553.9604814052582
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,80,4,0.002043,564.0950179100037
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,32,0.000276,573.5999963283539
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,100,50,0.000465,583.8762171268463
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,32,0.0004955000000000001,594.2298936843872
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,8,0.00031099999999999997,603.7163107395172
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,32,128,0.0004855,613.5233657360077
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,50,0.0004885,624.0120186805725
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,256,0.0003115,633.4717795848846
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,20,0.00048499999999999997,643.5727434158325
 , , ,64,64,50,0.000275,652.8975529670715
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,4,20,0.0006234999999999999,663.824170589447
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,32,0.000758,674.6458995342255
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,4,0.0003555,685.5604212284088
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,2048,80,0.0006835000000000001,696.1954205036163
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,128,0.0005725,706.2253696918488
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,128,0.000402,715.8530757427216
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,128,0.000909,726.348016500473
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,128,256,0.0004930000000000001,735.9864990711212
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,20,0.0005549999999999999,746.0415601730347
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,80,0.0004875,755.738189458847
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,0.000374,766.3846697807312
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,64,8,0.0019905,777.8439543247223
 , , ,64,2048,50,0.000264,787.0914299488068
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,64,0.00025350000000000004,796.4276366233826
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,50,80,0.0006670000000000001,806.6010806560516
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,20,4,0.0020425,816.8155119419098
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,16,50,0.000288,826.2854197025299
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,16,0.0006075,836.5937693119049
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,8,64,0.000821,847.4320685863495
 , , ,64,128,100,0.0002645,856.6128413677216
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,256,0.000474,867.4278972148895
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,32,0.000403,877.1670925617218
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,128,256,0.00041600000000000003,886.8529231548309
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,20,64,8,0.0013254999999999999,897.059237241745
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,16,0.0002865,908.2351980209351
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,100,4,0.002118,918.4565150737762
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,80,16,0.0005985000000000001,928.9674119949341
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,128,8,0.00173,940.1059441566467
 , , ,8,50,16,0.000282,949.551873922348
