p0,p1,p2,p3,p4,p5,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,16,64,0.010134,458.1381175518036
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,50,256,0.0096475,468.64934849739075
 , , ,128,8,16,0.0077280000000000005,478.36400270462036
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,4,256,0.010884999999999999,488.5760269165039
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,128,0.009940500000000001,498.4817192554474
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,20,0.019001,509.24036288261414
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,50,20,0.0125305,519.6360476016998
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,32,128,0.0116545,530.5363478660583
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,50,8,0.044003,541.4798781871796
 , , ,100,50,16,0.009055,551.0760428905487
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,64,32,0.0226745,562.4199872016907
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,2048,100,0.009521,572.8567004203796
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,80,4,0.0454145,583.2002265453339
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,32,0.006822,593.2926700115204
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,100,50,0.009572,603.571763753891
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,32,0.013741,614.2540383338928
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,8,0.00904,624.5151932239532
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,32,128,0.011717,634.736524105072
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,50,0.009496000000000001,644.9159202575684
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,256,0.005937,655.5166568756104
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,20,0.0127485,665.7120282649994
 , , ,64,64,50,0.0056965,675.1525390148163
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,4,20,0.014803,685.728812456131
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,32,0.026403,697.4449770450592
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,4,0.009593500000000001,708.708503484726
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,2048,80,0.0130815,718.8950908184052
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,128,0.0113955,729.1877143383026
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,128,0.0078295,739.3766431808472
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,128,0.021782,749.9915368556976
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,128,256,0.009579,759.7885587215424
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,20,0.016114,771.1001069545746
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,80,0.00975,781.4285709857941
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,0.010152,792.4928257465363
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,64,8,0.0375505,804.0398149490356
 , , ,64,2048,50,0.005625,813.6957905292511
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,64,0.0060025,823.0222799777985
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,50,80,0.013061,833.1677532196045
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,20,4,0.0598785,844.1843438148499
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,16,50,0.006096000000000001,854.1199915409088
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,16,0.0119685,864.3279428482056
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,8,64,0.0130665,875.0515604019165
 , , ,64,128,100,0.005686,884.4283068180084
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,256,0.009579,894.4284474849701
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,32,0.010447999999999999,904.530086517334
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,128,256,0.007903,914.2420094013214
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,20,64,8,0.027311000000000002,925.0122616291046
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,16,0.0082305,934.7283475399017
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,100,4,0.045269000000000004,945.0917499065399
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,80,16,0.0124,955.2859582901001
