trial,generate,reject,close,sample,batch,prior,sample,external
0,250,4750,2725,1025,1000,0,0.22950959205627441,0.021032094955444336
1,500,9500,5450,2050,2000,0,0.522437572479248,0.04304933547973633
2,750,14250,8175,3075,3000,0,0.7322309017181396,0.06378936767578125
3,1000,19000,10900,4100,4000,0,0.9361288547515869,0.08451604843139648
