p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
16,64,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,cores,disabled,1.664765,1677.8536450862885
16,40, , ,2,32,threads,balanced,1.663735,1698.531771659851
4,100,#pragma clang loop unrolling full, ,128,4,sockets,balanced,4.421025,1727.5958197116852
16,160, , ,4,8,sockets,none,1.65974,1753.163061618805
64,160, , ,96,2,sockets,none,1.664035,1774.1602563858032
2,160,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,threads,compact,9.069714999999999,1817.4372293949127
192,128,#pragma clang loop unrolling full,#pragma omp parallel for,16,4,sockets,none,1.6837499999999999,1838.9805545806885
16,64, ,#pragma omp parallel for,8,256,sockets,disabled,1.68031,1859.6118853092194
2,100, , ,128,4,threads,explicit,8.78629,1901.592358827591
64,40,#pragma clang loop unrolling full, ,128,32,cores,scatter,1.64566,1922.2034413814545
4,64, , ,32,4,cores,scatter,4.457319999999999,1951.2516214847565
32,64, , ,8,8,threads,balanced,1.6366749999999999,1971.8673977851868
192,100, , ,64,256,sockets,scatter,1.665735,1992.556099653244
8,128,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,cores,disabled,2.4105299999999996,2015.3672075271606
192,40, ,#pragma omp parallel for,8,2,threads,scatter,1.686855,2036.6013658046722
8,160,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,threads,disabled,2.40526,2059.5464861392975
32,10,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,threads,scatter,1.6511,2080.5850098133087
32,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,threads,balanced,1.650485,2101.1321556568146
192,128, ,#pragma omp parallel for,128,128,sockets,balanced,1.683165,2122.1608848571777
48,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,sockets,explicit,1.6558950000000001,2142.8160049915314
4,160,#pragma clang loop unrolling full, ,96,2,cores,compact,5.478415,2175.607495069504
4,10, , ,2,96,threads,scatter,4.538755,2204.8752841949463
32,40,#pragma clang loop unrolling full,#pragma omp parallel for,8,16,cores,balanced,1.650105,2225.5026242733
2,64,#pragma clang loop unrolling full, ,64,96,threads,scatter,8.754155,2267.332040786743
2,20, ,#pragma omp parallel for,96,32,threads,disabled,9.269205,2311.12473988533
128,10, , ,2,4,sockets,balanced,1.668135,2331.8287720680237
2,200,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,cores,none,9.18119,2375.5579426288605
96,128, ,#pragma omp parallel for,96,8,sockets,scatter,1.666285,2396.4318499565125
8,80,#pragma clang loop unrolling full, ,4,4,cores,none,2.3388549999999997,2419.307763338089
16,100, , ,96,16,threads,scatter,1.66887,2439.9975559711456
32,200, , ,4,4,sockets,compact,1.6416,2460.711282968521
16,80,#pragma clang loop unrolling full, ,64,16,cores,none,1.670515,2481.4475560188293
2,128,#pragma clang loop unrolling full,#pragma omp parallel for,8,32,cores,explicit,9.12736,2529.2144918441772
192,80, ,#pragma omp parallel for,4,96,sockets,balanced,1.684285,2554.2165791988373
8,80, , ,256,96,threads,scatter,2.366915,2577.075169324875
192,200,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,threads,compact,1.6905350000000001,2598.4082481861115
256,64, ,#pragma omp parallel for,4,256,cores,compact,1.67601,2619.8789467811584
48,64,#pragma clang loop unrolling full, ,8,64,threads,explicit,1.655,2640.4676401615143
8,100, , ,8,4,threads,compact,3.2556000000000003,2665.909185409546
128,20,#pragma clang loop unrolling full, ,32,256,sockets,explicit,1.671115,2686.7461733818054
8,160,#pragma clang loop unrolling full, ,16,8,sockets,compact,3.255445,2712.2495052814484
256,10,#pragma clang loop unrolling full,#pragma omp parallel for,128,2,sockets,explicit,1.69382,2733.54741024971
32,40, , ,32,2,sockets,compact,1.63443,2754.085351705551
256,40,#pragma clang loop unrolling full, ,16,256,sockets,compact,1.685375,2774.8004355430603
2,20, ,#pragma omp parallel for,8,64,threads,balanced,8.974565,2817.647507429123
256,160,#pragma clang loop unrolling full, ,128,8,threads,disabled,1.6782,2838.484296798706
2,100,#pragma clang loop unrolling full, ,16,32,sockets,compact,8.572894999999999,2879.8976440429688
8,200, , ,96,256,sockets,disabled,2.35156,2902.959544658661
2,200,#pragma clang loop unrolling full,#pragma omp parallel for,8,16,threads,scatter,9.067895,2946.046991109848
16,20,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,cores,disabled,1.66985,2966.728855371475
32,10,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,cores,scatter,1.6499450000000002,2987.335857629776
4,200, ,#pragma omp parallel for,4,128,sockets,explicit,4.5948150000000005,3016.823686361313
32,64, ,#pragma omp parallel for,96,4,cores,balanced,1.64217,3037.4947826862335
8,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,sockets,none,2.389575,3060.1912970542908
2,80,#pragma clang loop unrolling full,#pragma omp parallel for,96,256,cores,disabled,9.133465000000001,3103.5696489810944
128,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,4,threads,compact,1.674345,3124.5118288993835
128,20, , ,64,64,sockets,balanced,1.66571,3145.170002222061
256,40, ,#pragma omp parallel for,8,32,cores,balanced,1.676415,3166.2912108898163
8,80,#pragma clang loop unrolling full, ,96,32,threads,disabled,2.3596,3189.0965671539307
64,128,#pragma clang loop unrolling full, ,2,16,threads,none,1.65275,3209.8458466529846
48,40,#pragma clang loop unrolling full, ,64,32,cores,explicit,1.66327,3230.588254928589
256,64,#pragma clang loop unrolling full, ,16,8,sockets,balanced,1.66953,3251.379236459732
4,200, ,#pragma omp parallel for,96,2,threads,compact,5.556495,3283.843250989914
48,160,#pragma clang loop unrolling full,#pragma omp parallel for,16,256,threads,none,1.6607949999999998,3304.555210351944
64,128,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,sockets,scatter,1.66401,3325.597691297531
4,200, ,#pragma omp parallel for,2,128,cores,disabled,4.59482,3355.1508870124817
4,20,#pragma clang loop unrolling full, ,8,4,sockets,disabled,4.4599,3384.1802711486816
48,128, , ,16,128,cores,explicit,1.65185,3404.8412141799927
4,160, , ,64,32,cores,disabled,4.41039,3434.173634290695
256,160,#pragma clang loop unrolling full, ,16,96,sockets,none,1.678625,3455.079708814621
128,64,#pragma clang loop unrolling full,#pragma omp parallel for,4,96,cores,disabled,1.68086,3476.2669529914856
192,160, ,#pragma omp parallel for,4,32,threads,explicit,1.68582,3498.030690908432
256,160,#pragma clang loop unrolling full,#pragma omp parallel for,8,96,threads,scatter,1.676895,3519.21949839592
32,80, , ,64,96,sockets,disabled,1.633295,3539.8596885204315
128,128, ,#pragma omp parallel for,128,256,cores,disabled,1.68649,3561.225153207779
2,10,#pragma clang loop unrolling full,#pragma omp parallel for,128,8,threads,explicit,9.37192,3605.451469182968
2,10, ,#pragma omp parallel for,128,8,sockets,compact,9.266385,3649.166278362274
64,10, , ,2,256,threads,disabled,1.6639599999999999,3669.8631794452667
4,10, ,#pragma omp parallel for,128,32,threads,compact,5.794175,3702.931580543518
48,10,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,sockets,compact,1.656435,3723.6179172992706
48,160,#pragma clang loop unrolling full,#pragma omp parallel for,256,2,cores,compact,1.6535449999999998,3744.330000638962
