p0,p1,p2,p3,p4,p5,p6,p7,isize,objective,elapsed_sec
8,128, ,#pragma omp parallel for,8,64,sockets,balanced,2500000,1.209665,37.56557321548462
64,64,#pragma clang loop unrolling full, ,32,4,cores,explicit,2500000,0.8465450000000001,67.85368537902832
48,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,cores,explicit,2500000,0.8316399999999999,97.54997730255128
4,80,#pragma clang loop unrolling full, ,128,2,threads,scatter,2500000,2.2133599999999998,140.11364603042605
96,100, , ,4,32,threads,compact,2500000,0.8380449999999999,170.3456838130951
256,160, , ,32,8,threads,compact,2500000,0.8632200000000001,200.9896950721741
16,100, ,#pragma omp parallel for,64,16,sockets,scatter,2500000,0.8395250000000001,230.2540144920349
192,40,#pragma clang loop unrolling full, ,8,32,sockets,none,2500000,0.8598699999999999,260.63378500938416
128,64,#pragma clang loop unrolling full, ,96,128,sockets,disabled,2500000,0.8490000000000001,290.7817559242248
16,20, ,#pragma omp parallel for,4,256,sockets,explicit,2500000,0.8365849999999999,320.11854147911066
32,160, , ,256,2,cores,balanced,2500000,0.8152550000000001,350.32583045959467
64,160,#pragma clang loop unrolling full, ,32,256,threads,none,2500000,0.841205,380.7857182025909
192,20,#pragma clang loop unrolling full,#pragma omp parallel for,96,8,cores,disabled,2500000,0.8601700000000001,412.19769287109375
8,200, ,#pragma omp parallel for,256,16,threads,compact,2500000,1.95907,451.30167365074163
2,40, ,#pragma omp parallel for,16,128,cores,balanced,2500000,4.6794150000000005,514.4617347717285
128,128,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,threads,scatter,2500000,0.850665,686.6419732570647
256,128,#pragma clang loop unrolling full, ,8,64,threads,compact,2500000,0.8553949999999999,863.310453414917
16,10,#pragma clang loop unrolling full, ,96,32,sockets,explicit,2500000,0.8339850000000001,1025.3788046836853
2,40, , ,2,2,sockets,balanced,2500000,4.26417,1239.6828048229218
16,160,#pragma clang loop unrolling full, ,64,8,threads,disabled,2500000,0.83055,1426.7018373012545
128,80, ,#pragma omp parallel for,256,4,sockets,none,2500000,0.8536349999999999,1616.2945411205292
2,80, , ,128,16,cores,explicit,2500000,4.28404,1840.7148339748385
192,200, , ,128,32,cores,compact,2500000,0.8609800000000001,2035.774655342102
16,10, ,#pragma omp parallel for,64,64,sockets,scatter,2500000,0.8408450000000001,2233.182200431824
192,160, , ,64,96,cores,compact,2500000,0.8581549999999999,2435.849925279617
192,40, ,#pragma omp parallel for,4,2,sockets,compact,2500000,0.860035,2643.934684753418
128,160, , ,256,2,threads,balanced,2500000,0.844435,2848.6586039066315
128,200,#pragma clang loop unrolling full, ,8,2,sockets,explicit,2500000,0.8445299999999999,3063.1337463855743
96,40, , ,128,2,threads,compact,2500000,0.8377549999999999,3266.790452480316
96,20,#pragma clang loop unrolling full,#pragma omp parallel for,256,2,cores,none,2500000,0.853785,3487.9626400470734
