p1,p2,p3,p4,p5,objective,elapsed_sec
 , ,64,64,20,0.0014445,445.28405356407166
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,32,0.017944,453.59648299217224
#pragma clang loop(j2) pack array(data) allocate(malloc), ,50,50,256,0.0314565,462.00081849098206
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,50,0.0215845,470.4403176307678
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,128,0.025547,478.17203402519226
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,256,0.027627,486.4368932247162
 , ,16,16,32,0.016464,493.6158821582794
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,128,64,0.025793,501.64976739883423
#pragma clang loop(j2) pack array(data) allocate(malloc), ,96,100,4,0.002319,511.0799648761749
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,8,256,0.032481,519.569625377655
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,32,0.016451,527.0072360038757
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,64,20,0.006901,536.9462823867798
 , ,80,16,64,0.022323000000000003,544.2562413215637
 , ,4,80,64,0.022450499999999998,553.0248250961304
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,16,0.011608,560.8812205791473
 , ,8,2048,20,0.0013939999999999998,571.3199090957642
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,50,100,0.024805,584.8234298229218
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,20,32,0.020479499999999998,593.5372734069824
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,80,0.0237445,601.8638691902161
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,80,0.0246655,610.1243076324463
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,32,16,0.015575499999999999,618.2893319129944
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,20,16,0.012920000000000001,626.9634349346161
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,8,32,0.0164055,634.4328999519348
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,8,0.0082485,656.5039792060852
 , ,100,8,128,0.025699,663.868889093399
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,100,0.023922,671.70751953125
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,32,0.016375,679.2635333538055
