p1,p2,p3,p4,p5,objective,elapsed_sec
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,16,1.8157035000000001,815.636251449585
 , ,64,64,20,0.1818325,827.6150403022766
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,32,2.4831760000000003,842.9179804325104
#pragma clang loop(j2) pack array(data) allocate(malloc), ,50,50,256,4.2727205,863.3662140369415
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,50,2.9453234999999998,879.9600548744202
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,128,3.4930535000000003,897.616206407547
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,256,3.7545595,916.8545339107513
 , ,16,16,32,2.21638,930.365748167038
#pragma clang loop(j2) pack array(data) allocate(malloc), ,20,128,64,3.380747,948.5707406997681
#pragma clang loop(j2) pack array(data) allocate(malloc), ,96,100,4,0.296825,959.046516418457
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,8,256,4.4257555,980.0009305477142
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,32,2.16439,993.5850007534027
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,64,20,0.9417255,1005.9568104743958
 , ,80,16,64,2.988168,1021.8575897216797
 , ,4,80,64,3.0511365,1039.2894752025604
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,16,1.6266185,1051.3417527675629
 , ,8,2048,20,0.1767495,1062.0136034488678
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,50,100,3.469858,1080.3319611549377
#pragma clang loop(j2) pack array(data) allocate(malloc), ,8,20,32,2.6978125,1096.401225566864
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,80,3.3006564999999997,1114.2366800308228
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,80,3.4651055,1132.8058185577393
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,32,16,2.277294,1147.8345403671265
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,20,16,1.8795015,1161.439038515091
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,8,32,2.3693405,1176.174681186676
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,8,0.516939,1202.1738262176514
 , ,100,8,128,3.482296,1219.5892899036407
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,100,3.2959125,1236.4986412525177
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,32,2.2575275,1250.6071047782898
#pragma clang loop(j2) pack array(data) allocate(malloc), ,50,16,80,3.7823055,1270.6081972122192
#pragma clang loop(j2) pack array(data) allocate(malloc), ,96,8,128,4.14663,1290.8720993995667
 , ,80,32,4,0.154009,1299.0359485149384
 , ,8,100,32,2.2101615,1312.7131459712982
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,2048,32,2.805468,1327.942975282669
 , ,50,32,100,3.394813,1345.1233055591583
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,128,3.5537644999999998,1364.223263502121
