p1,p2,p3,p4,p5,objective,elapsed_sec
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,16,0.0910135,279.9269006252289
 , ,64,64,20,0.09109400000000001,284.9839663505554
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,32,0.0910765,290.09538292884827
#pragma clang loop(j2) pack array(path) allocate(malloc), ,50,50,256,0.09119150000000001,295.184362411499
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,50,0.09090000000000001,300.24792551994324
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,128,0.091298,305.3394570350647
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,256,0.091031,310.4197781085968
 , ,16,16,32,0.09110199999999999,315.76917004585266
#pragma clang loop(j2) pack array(path) allocate(malloc), ,20,128,64,0.0910415,321.0125586986542
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,100,4,0.091062,326.10100626945496
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,8,256,0.090976,331.19213104248047
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,32,0.091061,336.23033905029297
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,64,20,0.09105250000000001,341.30398511886597
 , ,80,16,64,0.091141,346.4092376232147
 , ,4,80,64,0.091081,351.5036814212799
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,16,0.091013,356.76876425743103
 , ,8,2048,20,0.09094050000000001,361.9056866168976
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,50,100,0.090988,367.03913021087646
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,20,32,0.090987,372.13368487358093
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,80,0.09095,377.23620557785034
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,80,0.091007,382.46083426475525
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,32,16,0.09112,387.6018421649933
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,20,16,0.09102450000000001,393.09797525405884
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,8,32,0.09122849999999999,398.13722229003906
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,8,0.0936025,403.4156663417816
 , ,100,8,128,0.0911845,408.49452686309814
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,100,0.0911095,413.5891396999359
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,32,0.091019,418.7255609035492
#pragma clang loop(j2) pack array(path) allocate(malloc), ,50,16,80,0.09102750000000001,424.06457233428955
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,8,128,0.0911235,429.1970820426941
 , ,80,32,4,0.091147,434.2844784259796
 , ,8,100,32,0.09106500000000001,439.50177121162415
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,2048,32,0.09119250000000001,444.5285687446594
 , ,50,32,100,0.0910015,449.66721272468567
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,128,0.0908985,454.7891013622284
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,256,0.0909585,460.0298476219177
 , ,8,64,64,0.090974,465.14064168930054
 , ,32,64,4,0.090944,470.192982673645
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,16,0.0909645,475.2648916244507
 , ,32,50,80,0.09093899999999999,480.3560104370117
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,50,0.090968,485.4557616710663
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,16,0.091058,490.57895851135254
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,64,0.091072,495.85342383384705
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,256,0.090931,501.08078932762146
