p1,p2,p3,p4,p5,objective,elapsed_sec
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,16,17.7091535,3153.868617773056
 , ,64,64,20,17.716963,3212.7600021362305
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,32,17.718771,3270.887268781662
#pragma clang loop(j2) pack array(path) allocate(malloc), ,50,50,256,17.7262525,3329.2714145183563
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,50,17.7788185,3387.630102157593
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,128,17.691292,3445.8285880088806
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,256,17.701890499999998,3504.13431763649
 , ,16,16,32,17.656475999999998,3562.112897634506
#pragma clang loop(j2) pack array(path) allocate(malloc), ,20,128,64,17.679748500000002,3620.460497379303
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,100,4,17.7284915,3678.741532802582
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,8,256,17.7415485,3737.594656229019
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,32,17.748773999999997,3795.8453798294067
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,64,20,17.700601,3854.4393599033356
 , ,80,16,64,17.670106,3913.264841079712
 , ,4,80,64,17.678807499999998,3971.390890598297
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,16,17.673901,4029.7746601104736
 , ,8,2048,20,17.7026845,4088.066565990448
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,50,100,17.7152185,4146.49404835701
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,20,32,17.6803965,4204.670671463013
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,80,17.6962305,4262.7438707351685
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,80,17.7224905,4321.158457517624
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,32,16,17.714778,4379.3873653411865
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,20,16,17.691109500000003,4437.711413383484
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,8,32,17.679383,4495.934035539627
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,8,17.6879645,4554.2248158454895
 , ,100,8,128,17.709832,4616.835656881332
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,100,17.7004425,4678.944282770157
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,32,17.7158225,4737.894495487213
#pragma clang loop(j2) pack array(path) allocate(malloc), ,50,16,80,18.5486605,4797.974252462387
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,8,128,17.739432,4856.58495593071
 , ,80,32,4,17.717097000000003,4914.894900560379
 , ,8,100,32,17.711544,4973.903302669525
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,2048,32,17.729067999999998,5032.050729513168
 , ,50,32,100,17.6982305,5090.815695524216
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,128,17.7101785,5149.54771232605
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,256,17.661194000000002,5207.802991390228
 , ,8,64,64,17.714409500000002,5266.100483894348
 , ,32,64,4,17.6377285,5324.122097969055
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,16,17.729893,5382.502841234207
 , ,32,50,80,17.6967705,5440.629961013794
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,50,17.629398000000002,5498.942394018173
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,16,17.6626765,5557.00715136528
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,64,17.6854505,5615.302343130112
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,256,17.736276,5674.098463773727
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,20,128,17.681595,5732.5662252902985
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,100,17.733252,5792.303242683411
#pragma clang loop(j2) pack array(path) allocate(malloc), ,32,50,128,17.671349,5850.391064882278
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,80,64,17.708979499999998,5911.6025993824005
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,80,64,17.706307,5971.545672178268
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,80,17.637437,6029.510704755783
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,80,256,17.7148735,6087.776907444
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,20,17.6348775,6145.672074079514
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,50,17.717969,6204.001765012741
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,16,17.7114735,6262.377422332764
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,16,17.682651,6320.492233037949
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,8,80,17.716409,6382.050422430038
 , ,8,4,128,17.757779,6440.887172222137
 , ,128,64,8,17.735368,6499.301006317139
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,16,4,17.654755,6557.65077996254
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,32,50,17.650558,6615.891173362732
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,2048,128,17.682553,6674.269294977188
#pragma clang loop(j2) pack array(path) allocate(malloc), ,80,32,80,17.736362999999997,6732.542285919189
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,32,17.7349655,6790.894116640091
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,100,17.6876385,6848.97392988205
 , ,80,80,32,17.732743499999998,6907.410457372665
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,80,4,17.725395,6968.451940536499
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,2048,128,17.780589499999998,7026.842549324036
 , ,32,2048,20,17.714099,7086.301080703735
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,32,80,17.751411,7144.781308174133
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,16,4,17.6873115,7203.106261253357
#pragma clang loop(j2) pack array(path) allocate(malloc), ,64,32,4,17.7697475,7266.349687576294
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,100,17.6674115,7324.383363246918
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,32,256,17.694421,7382.742480278015
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,32,16,17.6550155,7440.816653728485
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,20,256,17.696828,7503.99494600296
 , ,80,128,128,17.697764,7562.403571605682
 , ,4,64,50,17.6953675,7620.460331916809
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,256,17.671642499999997,7678.786635160446
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,128,17.581010499999998,7736.858006954193
 , ,32,4,64,17.647585499999998,7795.1737422943115
 , ,80,16,20,17.753052,7853.521047115326
 , ,32,100,4,17.714104499999998,7911.635083436966
 , ,96,16,256,17.7629425,7970.177983522415
