p1,p2,p3,p4,p5,objective,elapsed_sec
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,16,0.0044080000000000005,269.1990671157837
 , ,64,64,20,0.004403499999999999,274.04388427734375
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,32,0.004621500000000001,278.8809154033661
#pragma clang loop(j2) pack array(path) allocate(malloc), ,50,50,256,0.0044045,283.6878070831299
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,50,0.004406500000000001,288.4830801486969
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,128,0.004404999999999999,293.47170758247375
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,256,0.0043995,298.4429442882538
 , ,16,16,32,0.0043965,303.46189618110657
#pragma clang loop(j2) pack array(path) allocate(malloc), ,20,128,64,0.004396499999999999,308.36481404304504
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,100,4,0.0044145,313.31577134132385
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,8,256,0.004403499999999999,318.1408016681671
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,32,0.004398,323.175972700119
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,64,20,0.0043945,328.04822182655334
 , ,80,16,64,0.0043955,333.1156270503998
 , ,4,80,64,0.0044364999999999995,337.92762780189514
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,16,0.0044005,342.8273193836212
 , ,8,2048,20,0.0043955,347.6175546646118
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,50,100,0.0044445,352.58996415138245
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,20,32,0.004399999999999999,357.3943841457367
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,80,0.004398,362.26362895965576
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,80,0.004393,367.2273724079132
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,32,16,0.004439,372.03972244262695
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,20,16,0.004395,376.88288044929504
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,8,32,0.0043985,381.8084993362427
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,8,0.004395,386.66722440719604
 , ,100,8,128,0.0044895000000000004,391.49613523483276
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,100,0.0043975,396.32781982421875
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,32,0.004421,401.4117352962494
#pragma clang loop(j2) pack array(path) allocate(malloc), ,50,16,80,0.0044025,406.2546100616455
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,8,128,0.0043945,411.16397881507874
 , ,80,32,4,0.004404,415.9882354736328
 , ,8,100,32,0.004602500000000001,420.8367872238159
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,2048,32,0.0043985,425.7211380004883
 , ,50,32,100,0.004399,430.5804250240326
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,128,0.0044415,435.5841176509857
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,256,0.004395,440.5074288845062
 , ,8,64,64,0.0044025,445.32190203666687
 , ,32,64,4,0.004405,450.11719131469727
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,16,0.0043955,454.9542808532715
 , ,32,50,80,0.0044125,459.77711272239685
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,50,0.0043985,464.6132869720459
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,16,0.0044075,469.49619913101196
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,64,0.004416,474.5040955543518
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,256,0.004425,481.9643416404724
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,20,128,0.004399500000000001,486.77229928970337
