p1,p2,p3,p4,p5,objective,elapsed_sec
 , ,16,16,50,0.001209,10.273770332336426
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,128,0.0012065,18.525462865829468
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,100,128,0.001206,26.84934949874878
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,50,0.0012115,35.277796268463135
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,80,8,0.0012095,43.64514756202698
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,0.0011120000000000001,52.844796895980835
 , ,4,16,50,0.0012115,61.074843883514404
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,20,0.0011605,70.23880934715271
#pragma clang loop(i1) pack array(A) allocate(malloc), ,80,4,80,0.0012070000000000002,79.46381831169128
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,80,80,0.0012095,91.11488556861877
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,80,50,0.0012105,100.83602619171143
#pragma clang loop(i1) pack array(A) allocate(malloc), ,64,64,80,0.001214,112.52629017829895
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,16,64,0.0012085,121.12679529190063
 , ,96,64,32,0.0012144999999999999,130.74985790252686
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,50,0.001214,142.61511707305908
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,16,8,0.001206,151.72837233543396
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,2048,80,0.001199,163.49913907051086
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,16,0.001214,172.5159089565277
 , ,50,50,32,0.001209,181.22892022132874
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,8,0.0012125,189.37516832351685
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,8,0.001207,197.78993582725525
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,80,0.0012115,206.05279064178467
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,16,0.0012105,214.22377157211304
 , ,50,20,50,0.001214,222.669175863266
 , ,4,50,8,0.0012115,230.83062148094177
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,64,256,0.001209,239.0925211906433
#pragma clang loop(i1) pack array(A) allocate(malloc), ,50,4,256,0.001209,247.38638949394226
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,20,0.0012095,255.8222372531891
 , ,96,50,32,0.001212,264.1751322746277
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,256,0.001209,272.32627606391907
 , ,128,100,80,0.001209,280.5195257663727
