p1,p2,p3,p4,p5,objective,elapsed_sec
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,16,0.0550555,452.48759365081787
 , ,64,64,20,0.0717335,460.8195939064026
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,32,0.07377,470.89023423194885
#pragma clang loop(i1) pack array(A) allocate(malloc), ,50,50,256,0.0551365,488.6791968345642
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,50,0.055147,497.610999584198
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,128,0.0551525,506.01304936408997
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,256,0.055138,514.3210430145264
 , ,16,16,32,0.0551705,522.6337559223175
#pragma clang loop(i1) pack array(A) allocate(malloc), ,20,128,64,0.0551595,530.8105111122131
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,100,4,0.0550805,538.9992053508759
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,8,256,0.055117,547.3474822044373
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,32,0.055154999999999996,555.5479502677917
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,64,20,0.0551395,564.0091898441315
 , ,80,16,64,0.055199,572.2017216682434
 , ,4,80,64,0.05508,580.37748670578
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,16,0.0551165,588.6357145309448
 , ,8,2048,20,0.0486835,597.6334562301636
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,50,100,0.055095000000000005,605.8741500377655
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,20,32,0.0551155,614.126291513443
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,80,0.055142,622.4402070045471
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,80,0.0550955,630.6020383834839
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,32,16,0.0550775,639.035679101944
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,20,16,0.0551225,647.292008638382
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,8,32,0.0551325,655.5226390361786
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,8,0.0551275,663.7880127429962
 , ,100,8,128,0.0550925,672.2128393650055
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,100,0.0551145,680.4902946949005
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,32,0.0551195,688.6820111274719
#pragma clang loop(i1) pack array(A) allocate(malloc), ,50,16,80,0.0551595,696.91073179245
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,8,128,0.0551045,705.310334444046
 , ,80,32,4,0.055143,713.4957993030548
 , ,8,100,32,0.055161,721.7013404369354
#pragma clang loop(i1) pack array(A) allocate(malloc), ,16,2048,32,0.0501205,730.4594624042511
 , ,50,32,100,0.0551065,738.7311916351318
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,128,0.0551315,747.1013743877411
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,256,0.055097,755.4372248649597
 , ,8,64,64,0.055164500000000005,763.6670141220093
 , ,32,64,4,0.055102,771.8361465930939
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,16,0.047753500000000004,781.0328838825226
 , ,32,50,80,0.0550325,789.4132747650146
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,50,0.0551185,797.7016425132751
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,16,0.0551475,805.9528238773346
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,64,0.0551795,814.3338315486908
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,256,0.054889,823.334486246109
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,20,128,0.0551105,831.5617063045502
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,100,0.0550915,839.7439801692963
#pragma clang loop(i1) pack array(A) allocate(malloc), ,32,50,128,0.0551445,848.2525594234467
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,80,64,0.0551045,857.4528856277466
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,80,64,0.055115,866.288330078125
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,80,0.055134,874.5448546409607
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,80,256,0.0550065,883.0826740264893
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,20,0.0482215,892.1734602451324
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,50,0.0551915,900.3740556240082
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,16,0.0551505,908.6299939155579
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,16,0.055140999999999996,916.9776427745819
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,8,80,0.0552015,925.1770241260529
 , ,8,4,128,0.055112499999999995,933.3368508815765
 , ,128,64,8,0.055115,941.5188472270966
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,16,4,0.0550625,949.6643466949463
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,32,50,0.055201,958.2560741901398
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,2048,128,0.0539725,967.0490243434906
#pragma clang loop(i1) pack array(A) allocate(malloc), ,80,32,80,0.0549725,975.2229874134064
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,32,0.0551195,983.4697158336639
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,100,0.0550925,991.7200465202332
 , ,80,80,32,0.055107,1000.1269474029541
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,80,4,0.065725,1008.4178240299225
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,2048,128,0.053974,1018.1151127815247
 , ,32,2048,20,0.049222,1027.2848057746887
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,32,80,0.055132,1035.4852781295776
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,16,4,0.0552165,1043.6947638988495
#pragma clang loop(i1) pack array(A) allocate(malloc), ,64,32,4,0.055053000000000005,1051.865080833435
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,100,0.0550115,1059.985643863678
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,32,256,0.055181499999999994,1068.4140899181366
#pragma clang loop(i1) pack array(A) allocate(malloc), ,16,32,16,0.0551455,1076.571869134903
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,20,256,0.0551425,1084.8650569915771
 , ,80,128,128,0.055145,1093.065978527069
 , ,4,64,50,0.055071999999999996,1101.4298226833344
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,256,0.05511,1109.722067117691
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,128,0.055122,1118.0343542099
 , ,32,4,64,0.055088,1126.2118704319
 , ,80,16,20,0.055115,1134.596637248993
 , ,32,100,4,0.055085999999999996,1142.8213760852814
 , ,96,16,256,0.0550495,1151.0892539024353
#pragma clang loop(i1) pack array(A) allocate(malloc), ,64,4,64,0.055139999999999995,1159.2842752933502
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,80,0.103534,1167.83940243721
 , ,20,8,32,0.0551245,1176.0284554958344
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,8,0.055133,1184.2811131477356
 , ,96,20,4,0.055092,1192.5657274723053
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,2048,256,0.0550015,1201.4273760318756
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,128,8,0.0551245,1209.7206296920776
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,20,100,0.05501,1217.9898738861084
 , ,16,2048,32,0.050231,1226.8429131507874
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,50,50,0.05517,1235.078385591507
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,128,0.055087,1243.485562801361
