p1,p2,p3,p4,p5,objective,elapsed_sec
 , ,16,16,50,7.635775,35.92337226867676
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,128,7.551412,74.49540901184082
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,100,128,7.6438495,108.76685190200806
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,50,7.643128,142.73979330062866
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,80,8,7.6241215,176.4057056903839
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,6.346222,208.91150546073914
 , ,4,16,50,7.6367265,250.05233192443848
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,20,6.526791,286.9428367614746
#pragma clang loop(i1) pack array(A) allocate(malloc), ,80,4,80,7.6381820000000005,324.03067779541016
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,80,80,7.626455,358.1392548084259
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,80,50,7.649495,391.9836757183075
#pragma clang loop(i1) pack array(A) allocate(malloc), ,64,64,80,7.631304999999999,425.7697744369507
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,16,64,7.6551279999999995,459.5324754714966
 , ,96,64,32,7.6279205,493.3104040622711
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,50,7.619741,527.0403275489807
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,16,8,7.629035999999999,560.7735595703125
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,2048,80,7.1633035,595.4526052474976
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,16,7.541513,629.1534519195557
 , ,50,50,32,7.564824,662.978110074997
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,8,7.5484465,696.6795153617859
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,8,7.5497215,730.4752843379974
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,80,7.561584,764.3040239810944
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,16,7.5485524999999996,798.0593185424805
 , ,50,20,50,7.5803259999999995,837.64413189888
 , ,4,50,8,7.563803,877.4348092079163
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,64,256,7.558769,915.0402264595032
#pragma clang loop(i1) pack array(A) allocate(malloc), ,50,4,256,7.5566835,949.2878663539886
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,20,7.5487385,988.0673675537109
 , ,96,50,32,7.6386205,1026.9425039291382
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,256,7.6185895,1062.2191150188446
 , ,128,100,80,7.5348405,1096.3594543933868
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,20,7.556941,1130.032808303833
 , ,16,100,4,7.541099,1163.7502574920654
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,16,7.5373085,1197.4681458473206
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,8,7.544973000000001,1231.2193522453308
#pragma clang loop(i1) pack array(A) allocate(malloc), ,80,2048,50,6.928694,1265.4965407848358
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,32,80,7.543501,1299.279845714569
#pragma clang loop(i1) pack array(A) allocate(malloc), ,80,16,64,7.5507314999999995,1333.0186755657196
 , ,32,100,128,7.537634000000001,1366.9702253341675
#pragma clang loop(i1) pack array(A) allocate(malloc), ,16,16,8,7.5938064999999995,1408.3149790763855
 , ,4,50,128,7.5634015,1442.3312726020813
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,128,80,7.525338,1476.0638420581818
#pragma clang loop(i1) pack array(A) allocate(malloc), ,50,100,8,7.5205705,1509.6958549022675
#pragma clang loop(i1) pack array(A) allocate(malloc), ,50,80,16,7.52728,1543.2999920845032
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,64,7.539892999999999,1577.0447783470154
 , ,8,64,32,7.533162000000001,1610.6892280578613
