p0,p1,p2,p3,p4,p5,exe_time,elapsed_sec
 , , ,4,8,4,0.0019779999999999997,12.298198223114014
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,20,0.0020280000000000003,22.358306169509888
 , , ,4,128,50,0.0014285,31.306462049484253
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,64,0.0017445,39.85073256492615
 , , ,4,16,20,0.001767,50.42242217063904
 , , ,128,20,64,0.001495,61.13838863372803
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,100,16,0.0016605,69.82225179672241
 , , ,4,16,16,0.0018115,80.41458368301392
 , , ,4,32,64,0.0014665,89.24650049209595
 , , ,100,100,16,0.0016619999999999998,97.96691393852234
 , , ,4,16,64,0.0014420000000000001,109.72642230987549
 , , ,96,50,20,0.0017595,118.36709117889404
 , , ,4,128,20,0.0019775,129.41460633277893
 , , ,32,32,64,0.0014875,137.90997982025146
 , , ,128,100,64,0.001488,146.17442560195923
 , , ,4,100,4,0.00217,156.94650435447693
 , , ,128,128,64,0.0014754999999999998,165.14649438858032
 , , ,4,16,64,0.001467,174.92708563804626
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,64,0.0015530000000000001,183.7224473953247
 , , ,4,64,100,0.001412,192.4945068359375
 , , ,4,128,64,0.0014355000000000001,203.45914125442505
 , , ,100,50,64,0.001455,211.67799639701843
 , , ,4,4,64,0.001498,220.45129323005676
 , , ,50,128,20,0.0017245,229.24286890029907
 , , ,128,128,64,0.0014585000000000002,237.60746002197266
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,16,0.0021235,250.14448881149292
 , , ,4,128,4,0.0022515,259.226904630661
 , , ,128,8,64,0.00149,268.0703377723694
 , , ,128,100,64,0.001523,276.50649881362915
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,4,0.002328,285.6824357509613
