p0,p1,p2,p3,p4,p5,objective,predicted,elapsed_sec
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,50,0.0019715,0.00024544468960738106,11.799413204193115
 , , ,96,8,100,0.0018514999999999998,0.00036304401937490823,23.994576454162598
 , , ,8,128,4,0.002392,0.0004360539060254912,36.35364103317261
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,16,20,0.002051,0.0005312460475770341,47.36809206008911
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,100,0.0019,0.0006833848100562694,57.03707766532898
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,100,0.0017699999999999999,0.0006926299513340298,66.80206751823425
 , , ,32,32,16,0.0018495,0.000702018387843526,78.00942802429199
 , , ,128,16,4,0.0025795,0.0008519254206028054,88.99331307411194
 , , ,4,100,16,0.001934,0.0008900432939371938,102.5807626247406
 , , ,128,128,64,0.0021145,0.000908925247218526,112.445232629776
 , , ,100,2048,16,0.0018115,0.000978665075792281,123.25280785560608
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,16,32,0.001694,0.001163621105104531,133.47845840454102
 , , ,128,100,16,0.0018625,0.0012331302802006693,143.31689190864563
 , , ,128,2048,20,0.001851,0.0012884476002740725,154.07310914993286
 , , ,128,128,4,0.0021785,0.0015322589627372978,165.34473204612732
 , , ,100,16,64,0.001868,0.0018670889589904637,177.42864894866943
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,4,0.0023750000000000004,0.002267238182052197,190.7791850566864
 , , ,16,128,32,0.001764,0.0023494315774533372,202.43766117095947
 , , ,128,32,8,0.0020205,0.002801228862110422,212.68094301223755
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,100,0.0016625,0.003165826643801236,223.78535962104797
 , , ,4,128,100,0.0017005,0.0032650645055836954,233.93373036384583
 , , ,4,64,256,0.001572,0.004147696772526535,244.0969479084015
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,32,0.0018349999999999998,0.004292812631906222,254.35262084007263
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,4,0.0025575,0.004618711871509395,264.60175132751465
 , , ,100,8,100,0.001626,0.004949690255437739,274.75761914253235
 , , ,32,16,16,0.0019290000000000002,0.005054970237507237,287.75773429870605
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,100,0.0017239999999999998,0.006656307615711096,300.18904423713684
 , , ,100,20,64,0.001734,0.0068099884146167345,311.48519802093506
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,4,0.002378,0.007100260320748412,323.06071639060974
 , , ,4,128,64,0.0015955000000000001,0.00782054741002726,334.8378620147705
