p0,p1,p2,p3,p4,p5,objective,predicted,elapsed_sec
 , , ,80,50,16,0.205202,0.27994562350045893,16.421667337417603
 , , ,50,100,4,0.3093435,0.33118663601286746,32.14386200904846
 , , ,96,32,16,0.234096,0.37558889209387936,45.779892921447754
 , , ,50,32,64,0.187943,0.39687056180884783,59.27470421791077
 , , ,128,80,256,0.139077,0.4507809788660724,70.575430393219
 , , ,96,50,256,0.1381865,0.45478047034224506,81.69519400596619
 , , ,4,8,16,0.19205699999999998,0.4680411046170142,94.28721284866333
 , , ,96,128,16,0.2170115,0.48985711681704863,108.36475205421448
 , , ,100,20,256,0.13926349999999998,0.4969083791082695,120.74378395080566
 , , ,4,16,128,0.140507,0.5046069980146641,133.00817823410034
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,100,0.1397035,0.5057122078163881,145.48041534423828
 , , ,128,128,256,0.1379335,0.524150458306004,157.2481324672699
 , , ,100,80,16,0.212654,0.5555877371869923,171.21630597114563
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,256,0.146232,0.5581615104663847,183.0445740222931
 , , ,4,32,32,0.2036605,0.5837944708160964,196.6164140701294
 , , ,128,16,256,0.1414995,0.5864103100979781,209.37560367584229
 , , ,128,16,16,0.232636,0.5932328500582145,222.97662568092346
 , , ,128,8,16,0.233277,0.5980310432659602,236.66373372077942
 , , ,4,2048,256,0.138016,0.6339574001292277,248.0562777519226
 , , ,128,100,16,0.1887205,0.6353815465588606,260.4319531917572
 , , ,16,100,256,0.13948850000000002,0.6384785150718538,273.0622978210449
 , , ,16,50,256,0.14116,0.6391098328493322,284.65138840675354
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,16,0.2143505,0.6924716177189584,297.2403898239136
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,16,0.22153450000000002,0.7128704283732723,309.85834884643555
 , , ,128,20,16,0.244401,0.7273765641999188,324.2549021244049
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,80,50,0.169338,0.7682360987703964,335.7954285144806
 , , ,16,80,20,0.220902,0.7834114697106199,348.7951810359955
 , , ,50,128,64,0.21082499999999998,0.785097005771218,361.7454845905304
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,16,0.23097499999999999,0.7875525110203478,374.81926250457764
 , , ,50,80,256,0.1382575,0.7934406247452336,386.05915546417236
