p1,p2,p3,p4,p5,objective,predicted,elapsed_sec
 , ,64,2048,4,1.6062729999999998,0.13875778454282378,23.580095767974854
 , ,64,100,4,1.5807585,0.13982235804938356,47.61509037017822
 , ,16,16,4,1.91648,0.14076346494058867,73.05986475944519
 , ,80,64,4,1.6097975,0.1423651509066259,96.63947439193726
 , ,100,128,4,1.5778534999999998,0.14243833127066305,119.06666588783264
 , ,100,50,4,1.8471194999999998,0.14256873510615806,144.33590960502625
 , ,80,80,4,1.610892,0.1434301118973672,168.42822074890137
 , ,128,80,4,1.588311,0.14427206553241995,191.11548280715942
 , ,80,50,4,1.8447654999999998,0.1454980733032577,216.06711673736572
 , ,64,80,4,1.5869035,0.14552794076663736,239.5910415649414
 , ,8,16,4,2.474596,0.14567355239719537,269.6594967842102
 , ,80,128,4,1.5769354999999998,0.14577425298287686,293.53556513786316
 , ,8,128,4,1.926334,0.14597965056303452,319.5473384857178
 , ,50,80,4,1.596809,0.14643186943907757,342.0878851413727
 , ,32,20,4,1.675716,0.14716284732661492,365.5791082382202
 , ,32,32,4,1.5997659999999998,0.1471902256729089,388.65486907958984
 , ,96,100,4,1.580142,0.14747011216204725,411.00735664367676
 , ,100,20,4,1.6827225000000001,0.14776824425015603,436.41124629974365
 , ,100,32,4,1.627265,0.14857987962282254,459.39912366867065
 , ,16,80,4,1.7048825,0.14861474684826861,482.80320835113525
 , ,16,2048,4,1.7136985,0.14878897762148333,506.4075047969818
 , ,100,64,4,1.624269,0.14897929311404098,530.1594529151917
 , ,20,128,4,1.6610084999999999,0.149092372747866,553.1924016475677
 , ,8,32,4,1.945927,0.14913387949303641,579.6190111637115
 , ,128,20,4,1.694353,0.1491910100764422,603.2272164821625
 , ,128,64,4,1.616736,0.14920306927737767,625.8514094352722
 , ,100,2048,4,1.5936925,0.1492576875776031,650.1433413028717
 , ,16,64,4,1.7269,0.14949748248785538,673.9642035961151
 , ,8,2048,4,1.8681615,0.14952496577817778,698.9240002632141
 , ,20,2048,4,1.6949695,0.14959808945624287,722.4314153194427
