p0,p1,p2,p3,p4,p5,p6,p7,objective,predicted,elapsed_sec
32,20, ,#pragma omp parallel for,16,128,cores,explicit,3.3966250000000002,16654.203033674996,53.719056606292725
32,20, , ,32,16,cores,none,3.38394,34241.37244405652,107.72303247451782
32,20,#pragma clang loop unrolling full,#pragma omp parallel for,64,96,cores,balanced,3.3986099999999997,36190.65495948898,161.43084692955017
48,20, ,#pragma omp parallel for,32,128,cores,explicit,3.4352850000000004,49944.19100975992,216.11534452438354
32,200, , ,64,8,cores,none,3.35799,54633.520781483894,270.72302865982056
16,40, , ,64,96,cores,balanced,3.45664,64416.717302271085,325.9632034301758
32,128, ,#pragma omp parallel for,256,128,cores,balanced,3.41145,65454.41941570067,379.6909291744232
32,128, , ,16,96,threads,disabled,3.38377,71628.37971389569,434.70712304115295
32,160, ,#pragma omp parallel for,64,128,threads,balanced,3.3900750000000004,89569.63549769239,488.10750699043274
32,100, ,#pragma omp parallel for,64,8,threads,explicit,3.4070099999999996,105615.26938580643,542.6508498191833
32,200, ,#pragma omp parallel for,16,64,cores,balanced,3.3831350000000002,138741.78025383575,596.5987591743469
32,64, ,#pragma omp parallel for,256,128,sockets,explicit,3.39126,168652.07955329615,649.7026307582855
16,64, , ,64,8,threads,none,3.43064,255356.7946063549,704.5031671524048
32,40, ,#pragma omp parallel for,256,128,sockets,balanced,3.39436,282204.9485442857,758.231009721756
48,100, , ,16,8,sockets,balanced,3.508675,285731.752725814,813.4869601726532
16,128, , ,16,8,threads,balanced,3.491935,301527.6067064289,868.2351200580597
16,128, , ,64,8,sockets,scatter,3.48731,366002.97786330996,923.2190508842468
16,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,cores,explicit,3.391035,388469.4661090138,977.3464908599854
32,200, ,#pragma omp parallel for,96,8,sockets,balanced,3.3924700000000003,402642.3842632547,1030.7828614711761
32,128, , ,96,2,cores,scatter,3.3487600000000004,450871.6958142285,1085.243085384369
32,200, , ,32,128,threads,none,3.36814,565186.7734019305,1140.0458936691284
32,20, , ,16,4,cores,none,3.39246,749810.564685609,1194.7956187725067
32,100, , ,16,2,cores,none,3.34985,762517.1690179039,1248.7146246433258
32,100, ,#pragma omp parallel for,2,2,cores,scatter,3.3789249999999997,763138.482618682,1301.838951587677
32,64, , ,256,64,threads,explicit,3.4477599999999997,873486.5889388263,1355.6431818008423
16,128, , ,16,16,cores,none,3.43314,984894.1318151662,1410.378803730011
16,20, ,#pragma omp parallel for,16,2,cores,none,3.4737349999999996,1035275.7938343097,1464.5913121700287
32,20,#pragma clang loop unrolling full, ,64,128,cores,balanced,3.37462,1170947.7351127227,1518.5949211120605
32,100, , ,96,96,cores,none,3.3662099999999997,1346361.4999819293,1572.7550120353699
48,10, ,#pragma omp parallel for,96,64,sockets,scatter,3.434335,1636173.8301860765,1627.6271290779114
