p0,p1,p2,p3,p4,p5,p6,p7,objective,predicted,elapsed_sec
48,10,#pragma clang loop unrolling full,#pragma omp parallel for,2,64,threads,scatter,0.8554200000000001,0.1012586521068933,34.56463050842285
32,128, , ,4,2,cores,none,0.845,0.12543888790872043,66.11237215995789
48,40, , ,96,8,threads,balanced,0.86612,0.16778543100660182,97.46019625663757
32,64,#pragma clang loop unrolling full, ,64,128,cores,balanced,0.82116,0.2456457560843112,128.28062105178833
48,80,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,sockets,balanced,0.86512,0.2503220050568976,159.18864226341248
48,100,#pragma clang loop unrolling full, ,256,128,sockets,none,0.86122,0.2536838822533278,190.81666612625122
48,100, ,#pragma omp parallel for,16,2,sockets,none,0.8630850000000001,0.2555801543177097,221.86476111412048
48,128, , ,64,8,cores,none,0.858995,0.28827325239209733,253.80450916290283
32,64, ,#pragma omp parallel for,128,8,cores,explicit,0.856225,0.3190440457572208,284.21727681159973
32,100,#pragma clang loop unrolling full, ,64,2,threads,none,0.8403,0.3380536036949746,315.0446720123291
48,20, ,#pragma omp parallel for,2,8,cores,balanced,0.865065,0.3406774443204425,346.3685920238495
32,128,#pragma clang loop unrolling full, ,64,128,threads,disabled,0.83481,0.3445715816454257,377.77660751342773
48,20,#pragma clang loop unrolling full, ,64,8,sockets,explicit,0.8360799999999999,0.3445836621585882,408.5806450843811
48,64, , ,64,8,sockets,balanced,0.83171,0.35111551020834914,439.6089401245117
48,64, ,#pragma omp parallel for,16,8,cores,explicit,0.866105,0.35543880046899845,470.532833814621
32,10, , ,96,96,cores,explicit,0.840895,0.3649282772342312,502.04119300842285
48,20, , ,32,96,sockets,balanced,0.85036,0.3710208997339141,533.3965718746185
48,100, , ,4,64,sockets,none,0.86732,0.37199086049396246,564.8485128879547
48,40, ,#pragma omp parallel for,96,256,sockets,none,0.859255,0.3926574199594168,596.232560634613
48,128, , ,16,16,cores,scatter,0.866075,0.4013492979640183,628.0764729976654
48,80, , ,64,8,sockets,balanced,0.86904,0.42008399916319483,659.4412972927094
32,128, , ,96,64,sockets,disabled,0.8343700000000001,0.42255889658993073,691.080849647522
48,20,#pragma clang loop unrolling full,#pragma omp parallel for,64,128,sockets,compact,0.86072,0.43407544625025085,722.0487072467804
32,100, ,#pragma omp parallel for,64,8,cores,balanced,0.8478399999999999,0.442006705614212,752.4085114002228
48,64, , ,16,2,threads,explicit,0.850605,0.44358764697534486,783.6885960102081
48,128, , ,64,8,sockets,balanced,0.8563050000000001,0.44868234447613786,815.240549325943
48,20, , ,32,32,sockets,none,0.86304,0.45683528399707946,846.8366599082947
16,20, ,#pragma omp parallel for,64,2,cores,balanced,0.9390750000000001,0.4735158354681135,877.3805413246155
48,200, ,#pragma omp parallel for,96,8,sockets,balanced,0.865595,0.48517296989330133,908.2404153347015
48,64,#pragma clang loop unrolling full, ,16,96,cores,balanced,0.866565,0.4855818257475782,939.5404481887817
