p0,p1,p2,p3,p4,p5,p6,p7,objective,predicted,elapsed_sec
32,128, , ,128,2,cores,explicit,0.16867,0.03122231979558363,32.421523094177246
32,20, , ,4,128,threads,disabled,0.16987,0.03210174948177464,58.62920379638672
32,10,#pragma clang loop unrolling full, ,32,128,sockets,balanced,0.172255,0.03928195033552518,83.55869364738464
32,10,#pragma clang loop unrolling full, ,2,2,threads,balanced,0.17016,0.04039134752174048,109.84524655342102
16,64,#pragma clang loop unrolling full, ,64,8,cores,balanced,0.174435,0.04060412972105949,135.06499934196472
32,64, , ,64,2,threads,balanced,0.17223,0.04125086221080805,160.36942553520203
32,100,#pragma clang loop unrolling full, ,256,128,sockets,none,0.17046,0.04209220941747065,185.43752336502075
32,128, ,#pragma omp parallel for,16,8,cores,explicit,0.170685,0.04423912629518388,210.78929090499878
32,100, , ,64,96,cores,explicit,0.17052,0.0454438820971126,235.67351484298706
48,128, , ,256,256,sockets,none,0.18329,0.04614571879342547,261.1251685619354
48,200,#pragma clang loop unrolling full, ,16,128,sockets,scatter,0.177,0.047958298564098265,286.53742384910583
48,128, , ,96,2,sockets,none,0.18334499999999998,0.048673476019102165,311.465292930603
32,64, ,#pragma omp parallel for,8,8,cores,scatter,0.17048000000000002,0.051398518724981884,335.5132837295532
32,20,#pragma clang loop unrolling full, ,64,8,sockets,explicit,0.172365,0.05337601466877309,360.74143075942993
48,20,#pragma clang loop unrolling full, ,16,2,sockets,none,0.18499500000000002,0.054001014779855014,386.51383781433105
32,64, ,#pragma omp parallel for,64,8,cores,balanced,0.17180499999999999,0.05708017013881188,410.6972453594208
32,128, , ,16,8,sockets,disabled,0.1723,0.06018676890706036,435.9814302921295
48,10, ,#pragma omp parallel for,64,8,sockets,balanced,0.18137999999999999,0.06057736787318699,460.5055990219116
32,160, ,#pragma omp parallel for,16,8,cores,compact,0.172015,0.06113753389729289,484.6296091079712
32,64, , ,64,8,sockets,none,0.16885,0.0615677579245103,509.6424376964569
32,100, ,#pragma omp parallel for,96,8,sockets,balanced,0.17239,0.061647875309528644,533.9171922206879
48,128,#pragma clang loop unrolling full, ,16,96,cores,balanced,0.17413499999999998,0.06195486064054987,559.2336571216583
16,64, , ,96,8,threads,balanced,0.173595,0.06593140269265058,583.8738534450531
32,20,#pragma clang loop unrolling full,#pragma omp parallel for,4,8,cores,none,0.17041499999999998,0.0673439618251822,607.9853191375732
48,100, ,#pragma omp parallel for,16,128,sockets,explicit,0.19315,0.06775014648162508,633.0092735290527
32,20, , ,64,2,cores,explicit,0.17037000000000002,0.06800851856487267,657.8056769371033
32,128,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,cores,compact,0.17109000000000002,0.0688003321131258,682.717413187027
32,64,#pragma clang loop unrolling full,#pragma omp parallel for,256,2,cores,explicit,0.16974499999999998,0.06941947541040266,707.5812563896179
32,20, ,#pragma omp parallel for,32,256,sockets,explicit,0.16974,0.07096553016843943,731.5252194404602
32,200, ,#pragma omp parallel for,16,2,sockets,none,0.17093999999999998,0.07105425581369981,755.6132798194885
