p0,p1,p2,p3,p4,p5,p6,p7,objective,predicted,elapsed_sec
32,200, ,#pragma omp parallel for,2,8,cores,explicit,0.1698,0.03279403422669917,24.565515756607056
48,80,#pragma clang loop unrolling full, ,64,64,cores,balanced,0.17964,0.03662558629672455,49.581937074661255
32,64, ,#pragma omp parallel for,64,4,cores,balanced,0.170955,0.03901844905256108,74.3214499950409
48,20,#pragma clang loop unrolling full, ,64,8,sockets,none,0.18253999999999998,0.0391646181517006,99.58968591690063
48,20, , ,16,2,sockets,balanced,0.18059,0.03937279089027684,124.54928469657898
32,20,#pragma clang loop unrolling full,#pragma omp parallel for,16,96,threads,balanced,0.17091,0.04031199265680242,148.43749570846558
32,100, ,#pragma omp parallel for,96,2,cores,explicit,0.16648000000000002,0.042458593091854284,173.02139711380005
32,64, ,#pragma omp parallel for,96,2,threads,compact,0.17201,0.04483785556903476,197.09332919120789
16,20, ,#pragma omp parallel for,64,2,sockets,balanced,0.174515,0.047511497689792154,220.6219446659088
32,128,#pragma clang loop unrolling full, ,2,2,sockets,scatter,0.17076999999999998,0.050067257704574326,245.74536395072937
32,20, ,#pragma omp parallel for,64,2,sockets,disabled,0.17049,0.051007387496905865,269.59740567207336
16,128, , ,16,8,cores,scatter,0.172345,0.051350632736916896,294.4457552433014
32,100, , ,16,96,sockets,none,0.16880499999999998,0.05393897992963995,319.66529631614685
32,20, , ,16,2,cores,none,0.16960999999999998,0.055310502217284715,344.6695821285248
48,128, ,#pragma omp parallel for,96,2,sockets,balanced,0.181475,0.05625755959565565,368.8616392612457
16,10,#pragma clang loop unrolling full, ,96,8,threads,none,0.17223,0.05653374025768758,393.7973620891571
32,100, ,#pragma omp parallel for,32,8,sockets,none,0.16985499999999998,0.059490576766255965,417.83337569236755
48,128, ,#pragma omp parallel for,16,32,cores,scatter,0.17617,0.059657001743486225,442.24945425987244
32,128, ,#pragma omp parallel for,96,2,threads,explicit,0.17028,0.06080305935970425,466.3974208831787
16,20, , ,16,128,sockets,explicit,0.172275,0.061777534636770576,491.1493167877197
48,128, , ,256,8,threads,scatter,0.17366,0.062448601005400166,516.4452531337738
48,128, , ,16,96,cores,explicit,0.18611,0.06293982671113425,541.8616886138916
32,100,#pragma clang loop unrolling full, ,256,2,sockets,none,0.16885,0.06568699571005397,566.7694067955017
16,128,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,cores,explicit,0.171435,0.0666360143537596,590.7664585113525
16,64, , ,96,8,sockets,compact,0.20576,0.06697581432108946,615.8616468906403
48,128, ,#pragma omp parallel for,256,64,cores,none,0.18416500000000002,0.07074839298413438,640.5175039768219
32,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,8,cores,explicit,0.17167,0.07131150229032447,664.6778151988983
32,20,#pragma clang loop unrolling full, ,64,128,sockets,none,0.167875,0.07239400379694125,689.537416934967
32,64, ,#pragma omp parallel for,32,96,cores,disabled,0.169615,0.07516260773545302,713.6776823997498
16,128,#pragma clang loop unrolling full,#pragma omp parallel for,64,2,threads,none,0.170535,0.0783730338126627,737.8213520050049
