p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 , , ,100,32,64,2000,2600,5.3048135,22.29752469062805
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,16,2000,2600,7.765448,153.7768313884735
 , , ,50,2048,256,2000,2600,8.736365,213.24491238594055
 , , ,128,8,4,2000,2600,6.245245499999999,261.99714040756226
 , , ,8,4,8,2000,2600,7.462717,317.7963709831238
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,4,2000,2600,9.36981,378.6933817863464
 , , ,128,2048,64,2000,2600,5.7809665,430.1883940696716
 , , ,128,20,16,2000,2600,4.804224,473.8292918205261
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,80,256,2000,2600,8.46582,527.2896044254303
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,8,2000,2600,5.5332685,579.4525227546692
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,4,256,2000,2600,5.1267320000000005,637.4336185455322
 , , ,96,8,256,2000,2600,8.533377,713.348376750946
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,32,4,2000,2600,15.5221285,799.2893595695496
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,4,2000,2600,15.75886,881.9044480323792
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,2000,2600,14.6812885,984.6805145740508
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,2048,50,2000,2600,6.5403465,1051.4768121242523
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,8,256,2000,2600,5.3279245,1175.500614643097
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,8,32,2000,2600,4.9640375,1232.1692402362823
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,256,2000,2600,8.817685,1296.9966175556185
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,20,64,2000,2600,1.956822,1420.2691736221311
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,256,2000,2600,9.1579145,1529.3292908668518
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,4,100,2000,2600,5.826294,1627.6132462024689
 , , ,80,2048,4,2000,2600,6.647983,1776.1615092754364
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,100,256,2000,2600,5.0908495,1938.329284906387
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,50,128,2000,2600,4.7639975,2088.729507446289
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,256,2000,2600,5.0615425,2190.185310125351
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,64,80,2000,2600,8.689956,2336.3447749614716
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,2048,256,2000,2600,6.399827,2397.4726433753967
 , , ,8,8,50,2000,2600,6.169068,2484.273314714432
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,64,2000,2600,5.6286165,2572.504293680191
