p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
4,sockets,spread,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,10.5748,280.3749477863312
8,cores,master,static, ,#pragma unroll (6),#pragma omp for nowait, ,8.24604,555.9398212432861
8,threads,master,dynamic, , ,#pragma omp for nowait, ,8.22921,748.4333062171936
192,threads,spread,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8.23109,942.2271161079407
16,cores,close,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,8.23173,1201.9380462169647
16,cores,spread,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8.22722,1459.9386205673218
8,threads,spread,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8.24641,1717.9390478134155
192,threads,close,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8.2491,1909.9376661777496
4,cores,master,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8.24011,2101.9376018047333
192,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,8.23029,2293.939074754715
128,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,8.23545,2550.349634885788
2,cores,close,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8.24814,2742.35054397583
2,cores,master,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8.24927,2934.0611431598663
256,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,8.24608,3190.268230676651
192,cores,spread,static,#pragma omp parallel for, ,#pragma omp for, ,8.23725,3381.9388995170593
96,cores,spread,static,#pragma omp parallel for, ,#pragma omp for, ,8.25779,3573.9387712478638
4,cores,spread,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8.23899,3765.9389045238495
96,cores,spread,static, , ,#pragma omp for nowait, ,8.26488,3957.937979698181
192,cores,master,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8.2234,4149.938961029053
192,cores,close,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8.25903,4407.938976764679
192,cores,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8.23976,4665.939012289047
192,cores,master,static, ,#pragma unroll,#pragma omp for nowait, ,8.23073,4923.938264846802
256,cores,master,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8.24181,5180.145078420639
32,cores,master,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8.24506,5437.939049482346
4,cores,master,static, ,#pragma unroll,#pragma omp for nowait, ,8.30673,5694.391852140427
192,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8.24919,5886.355422258377
192,cores,spread,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8.24397,6143.985510349274
192,cores,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8.24232,6336.39665055275
192,cores,spread,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8.2609,6593.984625816345
192,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,8.23044,6785.985246658325
192,cores,master,dynamic, , ,#pragma omp for nowait, ,8.26932,6979.984061002731
192,cores,spread,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8.32033,7249.984773397446
192,threads,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,8.34693,7455.98420381546
192,sockets,master,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8.32121,7659.985047340393
64,sockets,close,static, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8.32966,7933.98558306694
2,threads,spread,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8.31845,8207.984319210052
8,cores,close,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,8.33417,8481.98552274704
96,cores,master,static, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8.23605,8749.985430240631
256,cores,master,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8.22784,9007.985447645187
256,cores,master,static, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8.258,9264.272640705109
48,cores,master,static, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8.22908,9521.984910011292
4,cores,master,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8.24431,9713.984700918198
16,cores,master,static, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8.39408,9978.356137752533
128,threads,spread,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8.27281,10178.032006025314
192,threads,spread,static, , ,#pragma omp for, ,8.24279,10370.031836748123
192,threads,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,8.2445,10564.031803131104
256,threads,spread,dynamic, ,#pragma unroll,#pragma omp for, ,8.26287,10822.032522678375
64,threads,spread,dynamic, ,#pragma unroll,#pragma omp for, ,8.20734,11078.03177189827
32,sockets,spread,dynamic, ,#pragma unroll,#pragma omp for, ,8.23432,11334.032266378403
4,cores,spread,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8.24513,11588.56717300415
4,cores,spread,dynamic, , ,#pragma omp for, ,8.19947,11780.132290840149
4,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for, ,8.24151,11972.132771968842
4,cores,spread,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8.22919,12162.625878572464
4,cores,master,dynamic, , ,#pragma omp for, ,8.22602,12354.184908151627
4,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8.22121,12546.186744689941
48,threads,spread,dynamic, , ,#pragma omp for, ,8.22064,12736.349868774414
128,threads,spread,dynamic, ,#pragma unroll,#pragma omp for, ,8.20663,12992.186234474182
4,cores,spread,dynamic, ,#pragma unroll,#pragma omp for, ,8.19795,13248.186248779297
4,threads,spread,dynamic, , ,#pragma omp for, ,8.33048,13446.186195135117
4,cores,close,dynamic, ,#pragma unroll,#pragma omp for, ,8.33664,13710.184793949127
256,threads,spread,dynamic, ,#pragma unroll,#pragma omp for nowait, ,8.33413,13970.433349609375
8,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,8.32088,14232.19023013115
