p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
64,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,12.573,14845.831648349762
64,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,12.6075,15119.831645727158
8,sockets,master,dynamic, , ,#pragma omp for nowait, ,12.6563,15331.831760406494
8,threads,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,12.5914,15606.119368076324
8,cores,spread,dynamic, , ,#pragma omp for nowait, ,12.6322,15815.831171751022
8,threads,master,static, ,#pragma unroll,#pragma omp for nowait, ,12.605,16089.830740213394
8,threads,master,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,12.6322,16299.830375671387
8,threads,master,dynamic, ,#pragma unroll,#pragma omp for nowait, ,12.5993,16573.830260276794
8,threads,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.6231,16783.83168911934
8,threads,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,12.6188,16993.830928325653
64,cores,spread,dynamic, , ,#pragma omp for nowait, ,12.6143,17203.83138513565
8,threads,master,dynamic, , ,#pragma omp for, ,12.6531,17413.83101129532
8,threads,master,static,#pragma omp parallel for, ,#pragma omp for nowait, ,12.6266,17623.831349134445
256,cores,close,static, , ,#pragma omp for nowait, ,12.5998,17833.83208823204
8,threads,close,dynamic, , ,#pragma omp for nowait, ,12.6237,18043.830716609955
128,cores,close,dynamic, , ,#pragma omp for nowait, ,12.6332,18253.83039689064
2,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for, ,12.6338,18463.830581188202
16,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,12.6036,18673.83175253868
256,cores,close,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.6255,18883.831119060516
2,cores,spread,dynamic, , ,#pragma omp for, ,12.6207,19093.83159327507
16,cores,spread,dynamic, , ,#pragma omp for nowait, ,12.5991,19303.831736564636
