p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
192,cores,master,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,3.86465,11856.020463943481
48,cores,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,3.84535,12098.308571338654
32,cores,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.88831,12340.01958823204
192,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,3.8945,12582.018976926804
16,cores,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,3.87516,12824.02027463913
16,cores,master,static,#pragma omp parallel for, ,#pragma omp for nowait, ,3.86607,13002.020231723785
192,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,3.88126,13244.472895860672
192,cores,close,static,#pragma omp parallel for, ,#pragma omp for, ,3.87713,13422.057796239853
192,cores,master,static, ,#pragma unroll,#pragma omp for nowait, ,3.84603,13664.058730363846
192,cores,master,static, ,#pragma unroll,#pragma omp for, ,3.88819,13906.058413505554
192,cores,master,static, , ,#pragma omp for nowait, ,3.88719,14084.058740139008
192,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.86384,14326.058967590332
16,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.85317,14568.059329986572
192,cores,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.84066,14810.059514522552
8,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.84597,15052.058165550232
2,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.90267,15294.059226751328
8,cores,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.86531,15536.059354543686
48,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.84564,15778.059232473373
32,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.86119,16020.058834075928
64,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.8768,16262.059388875961
128,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.85416,16504.05854177475
4,cores,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.83101,16746.059252023697
96,cores,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.86608,16988.05870771408
192,cores,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,3.8858,17230.059394598007
16,cores,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.90234,17472.059391975403
128,cores,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.89476,17714.059301376343
96,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.86027,17956.05931520462
256,cores,master,static,#pragma omp parallel for, ,#pragma omp for nowait, ,3.89943,18134.06281900406
48,cores,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.89869,18376.057902812958
192,threads,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.94333,18620.059279203415
192,cores,master,dynamic, ,#pragma unroll,#pragma omp for nowait, ,3.90582,18862.05918288231
4,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,3.89112,19104.0584897995
4,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,3.89036,19346.06369137764
4,cores,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.92947,19588.059195041656
192,cores,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.90485,19830.0591776371
192,cores,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.93237,20072.05788564682
48,cores,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.8828,20314.058439016342
192,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,3.92407,20556.058435201645
4,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,3.8993,20734.058882951736
48,cores,master,static, ,#pragma unroll,#pragma omp for nowait, ,3.90449,20976.05914902687
8,sockets,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.93023,21218.058214187622
256,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.93045,21460.05836057663
192,cores,spread,static,#pragma omp parallel for, ,#pragma omp for nowait, ,3.93077,21638.05907845497
8,cores,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,3.92356,21880.059227705002
48,cores,master,static,#pragma omp parallel for, ,#pragma omp for nowait, ,3.93211,22058.059329509735
64,cores,master,static, ,#pragma unroll,#pragma omp for nowait, ,3.93466,22300.059185028076
48,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,3.90646,22542.05917453766
8,cores,master,static, ,#pragma unroll,#pragma omp for nowait, ,3.9152,22784.05921125412
192,threads,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.91508,23026.059209108353
192,cores,master,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,3.92077,23204.05931186676
256,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,3.92603,23446.05930995941
4,cores,master,dynamic, ,#pragma unroll,#pragma omp for nowait, ,3.92368,23688.05847454071
96,cores,master,static,#pragma omp parallel for, ,#pragma omp for nowait, ,3.93195,23866.05922961235
32,cores,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,3.83506,24106.594366550446
32,cores,spread,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,3.86648,24348.20549750328
32,threads,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,3.85553,24590.20627474785
32,sockets,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,3.85976,24832.205770730972
32,threads,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.88147,25074.20497584343
32,cores,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,3.84895,25316.206387758255
32,sockets,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,3.85243,25558.206318855286
32,threads,spread,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,3.87225,25798.371017217636
32,cores,spread,static, ,#pragma unroll,#pragma omp for, ,3.86157,26040.205675840378
