p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
48,100,#pragma clang loop unrolling full, ,32,64,80,balanced,sockets,0.474675,0.02724347957597839,26.101551055908203
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,160,balanced,cores,0.480255,0.06981435487509713,48.81370210647583
32,100,#pragma clang loop unrolling full, ,64,4,160,balanced,sockets,0.46825,0.07804394384288815,69.2216215133667
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,80,balanced,cores,0.477915,0.08057421255773678,90.65759205818176
32,100,#pragma clang loop unrolling full, ,96,64,200,balanced,cores,0.4733,0.08301369981694018,115.01386284828186
32,100, , ,4,128,128,balanced,cores,0.46698,0.0968080348825947,140.31763195991516
48,100, ,#pragma omp parallel for,16,64,80,balanced,cores,0.47848999999999997,0.10529899908057672,166.93738865852356
32,200,#pragma clang loop unrolling full, ,16,32,10,balanced,cores,0.465835,0.10833094928585374,194.54174518585205
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,10,balanced,cores,0.469025,0.10970002221270347,220.50158786773682
64,100,#pragma clang loop unrolling full, ,2,256,100,balanced,cores,0.47789,0.11037553370567321,246.64191222190857
64,100,#pragma clang loop unrolling full, ,8,16,80,balanced,cores,0.484175,0.11042733276642402,274.88159370422363
64,100, , ,4,32,80,none,cores,0.48341500000000004,0.11088590130294096,302.5132691860199
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,4,10,balanced,cores,0.4756,0.1131750889763572,325.0377495288849
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,200,balanced,cores,0.48168,0.11380041079561487,351.7501003742218
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,32,200,disabled,cores,0.466275,0.11552456139322653,379.3212354183197
64,100, , ,96,8,128,balanced,cores,0.48058,0.12141466951934343,404.40578055381775
32,100, ,#pragma omp parallel for,96,16,128,balanced,threads,0.47038,0.12674114556865446,432.79724740982056
64,100, , ,16,256,160,balanced,cores,0.480515,0.12830646642697197,459.2294964790344
64,200,#pragma clang loop unrolling full,#pragma omp parallel for,16,256,10,balanced,cores,0.480875,0.1367489490740479,480.69368600845337
48,100,#pragma clang loop unrolling full, ,96,96,160,balanced,cores,0.479435,0.13743869880282122,507.51754784584045
32,100, ,#pragma omp parallel for,256,32,80,balanced,sockets,0.46923499999999996,0.13958748521300457,534.5376949310303
32,100, ,#pragma omp parallel for,32,8,200,balanced,sockets,0.471695,0.13978321603773025,561.741340637207
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,10,balanced,cores,0.47075,0.14083062933059698,587.273291349411
64,100,#pragma clang loop unrolling full, ,64,2,200,balanced,cores,0.47967000000000004,0.14134160721447597,615.9336786270142
32,100,#pragma clang loop unrolling full, ,128,256,10,balanced,cores,0.46492,0.14227953252833336,642.0854573249817
32,100, , ,96,256,10,disabled,cores,0.470275,0.1469917853090824,669.0337080955505
48,100, ,#pragma omp parallel for,96,256,80,balanced,sockets,0.48255000000000003,0.14735075212350657,695.5295753479004
64,200,#pragma clang loop unrolling full, ,16,256,10,balanced,cores,0.48292,0.148979162053124,719.521369934082
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,160,balanced,cores,0.471915,0.15027672099510725,739.9375121593475
32,100, , ,16,16,80,balanced,cores,0.46931500000000004,0.1503022824557645,765.5932939052582
