p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
48,100,#pragma clang loop unrolling full, ,32,96,80,balanced,threads,2.35799,1.0939021148259205,48.45047402381897
32,200,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,160,balanced,cores,2.336065,1.1294656465389763,95.59369349479675
32,100, , ,96,32,160,balanced,sockets,2.338945,1.1366421784526786,142.47434949874878
48,100,#pragma clang loop unrolling full, ,96,96,200,balanced,cores,2.4485650000000003,1.141025752268655,188.55774188041687
32,100, , ,128,16,80,balanced,cores,2.443085,1.1533942352438036,236.3259642124176
48,100, ,#pragma omp parallel for,16,64,80,balanced,cores,2.367425,1.1611583210923402,284.67809653282166
48,200,#pragma clang loop unrolling full, ,4,32,10,disabled,cores,2.35472,1.163959210311024,334.9259223937988
32,100,#pragma clang loop unrolling full, ,32,16,200,balanced,cores,2.349345,1.165228920259594,380.4145038127899
32,100,#pragma clang loop unrolling full, ,8,64,10,balanced,cores,2.33695,1.1658565503549747,425.8816773891449
32,200,#pragma clang loop unrolling full, ,256,8,160,balanced,cores,2.33533,1.1659047091059744,472.5623264312744
32,200, , ,128,32,80,balanced,cores,2.352315,1.166331245205926,519.141925573349
32,100,#pragma clang loop unrolling full, ,32,4,10,balanced,cores,2.350025,1.1684657703318932,567.9460203647614
32,200,#pragma clang loop unrolling full,#pragma omp parallel for,16,4,200,balanced,cores,2.34389,1.16905036825072,615.8942003250122
48,200,#pragma clang loop unrolling full,#pragma omp parallel for,128,256,200,disabled,sockets,2.36393,1.1706656363739176,664.1178736686707
32,200, , ,16,2,80,balanced,sockets,2.34639,1.1762217321250437,712.4459080696106
48,200, ,#pragma omp parallel for,16,16,128,disabled,cores,2.3672,1.181297327819694,767.2983729839325
32,200, , ,16,256,160,balanced,cores,2.344815,1.1827982701192048,815.5818309783936
32,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,256,10,balanced,cores,2.365455,1.1909677973234498,862.3543756008148
48,200,#pragma clang loop unrolling full, ,16,128,160,balanced,cores,2.374145,1.191640838439802,913.3778967857361
48,100, ,#pragma omp parallel for,32,256,80,balanced,sockets,2.344945,1.1937430437062213,962.8580458164215
48,200, ,#pragma omp parallel for,32,8,200,balanced,sockets,2.3677,1.1939349443059024,1011.0938382148743
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,10,balanced,sockets,2.346045,1.1949630359324899,1057.4902324676514
32,200,#pragma clang loop unrolling full, ,96,2,200,disabled,sockets,2.348125,1.1954653075406783,1102.3983952999115
32,200, , ,2,64,10,balanced,cores,2.434625,1.196388483214543,1148.3540472984314
48,200, , ,16,64,10,disabled,cores,2.349615,1.201050891462811,1193.2659883499146
48,200, ,#pragma omp parallel for,16,64,80,balanced,sockets,2.3655049999999997,1.2014077291837382,1237.7938435077667
32,200,#pragma clang loop unrolling full, ,4,256,200,balanced,sockets,2.35295,1.2030294644198192,1285.113796710968
48,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,8,64,balanced,cores,2.342855,1.2043252157896642,1332.886519908905
48,200, , ,4,8,160,balanced,cores,2.363365,1.2043507730040972,1377.513863325119
32,200,#pragma clang loop unrolling full,#pragma omp parallel for,96,64,200,balanced,sockets,2.3463000000000003,1.2050608122138289,1423.9343676567078
