p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
32,100, ,#pragma omp parallel for,2,8,10,disabled,cores,0.47089000000000003,0.08118929348590198,25.536895513534546
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,64,10,balanced,cores,0.47404,0.08515358065814982,50.620811462402344
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,160,balanced,cores,0.472815,0.08965319904109781,75.3168716430664
48,100, , ,64,64,100,balanced,cores,0.48053,0.09324052212608558,99.24502348899841
32,100, ,#pragma omp parallel for,96,64,100,balanced,cores,0.47206499999999996,0.10440200927326981,122.19704723358154
64,100,#pragma clang loop unrolling full, ,256,4,128,balanced,cores,0.48051,0.10825881952931593,146.85328269004822
32,100, , ,64,4,40,balanced,cores,0.472465,0.11064839810757543,169.87271094322205
32,100, ,#pragma omp parallel for,256,32,128,balanced,cores,0.46984499999999996,0.11077414768924476,194.3046407699585
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,96,4,20,balanced,cores,0.470255,0.11933474843312519,220.06085538864136
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,64,80,disabled,cores,0.48756,0.1233257516377595,245.6690719127655
32,100,#pragma clang loop unrolling full, ,32,4,100,none,sockets,0.467115,0.12357189239942346,270.9406521320343
32,100, ,#pragma omp parallel for,256,16,200,balanced,threads,0.468205,0.12642246484891106,296.4776818752289
48,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,32,10,balanced,sockets,0.47809999999999997,0.13056770729504819,323.18042826652527
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,10,balanced,cores,0.47336,0.13217273445863253,345.6930949687958
48,100, , ,32,32,80,balanced,cores,0.48033499999999996,0.13398364095836168,375.38069105148315
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,2,200,balanced,threads,0.46793,0.13398988895662178,400.3690891265869
48,100, , ,256,64,80,disabled,cores,0.48078,0.134686226043215,426.1967308521271
32,100, ,#pragma omp parallel for,256,64,200,balanced,cores,0.472815,0.13497255071743286,449.99266624450684
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,4,64,balanced,sockets,0.472885,0.13598194592656732,475.4336140155792
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,64,balanced,cores,0.47382,0.13646252780780643,499.23348665237427
48,100, ,#pragma omp parallel for,128,32,100,balanced,cores,0.479875,0.1370173846314866,523.8012764453888
32,100, , ,32,8,10,disabled,sockets,0.47124,0.14037762031641932,548.6648008823395
32,100,#pragma clang loop unrolling full, ,32,2,10,balanced,cores,0.469905,0.14444165439968204,574.1246910095215
48,100, ,#pragma omp parallel for,64,4,100,balanced,cores,0.481,0.1460829999427964,598.8730890750885
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,200,disabled,cores,0.472895,0.15033857008345086,622.2970876693726
32,100, , ,96,16,10,balanced,sockets,0.47104,0.15127493580692963,646.2531003952026
48,100, , ,16,32,10,balanced,sockets,0.56168,0.15156687666927304,671.4531626701355
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,64,balanced,cores,0.467055,0.152553688831767,698.7248187065125
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,8,128,disabled,cores,0.47379,0.15290357665411103,726.1927042007446
32,100,#pragma clang loop unrolling full, ,256,32,100,balanced,sockets,0.471345,0.15381060887903464,752.7206089496613
