p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
48,800, , ,32,4,200,balanced,sockets,9.48667,1763.2409646028163,113.8614935874939
48,100, , ,32,128,128,compact,sockets,9.458815000000001,1785.0312592148036,227.9613916873932
64,100, , ,16,64,40,disabled,sockets,9.498355,1810.212832011512,354.7094511985779
32,100, , ,4,96,10,compact,threads,9.43232,1830.63772940453,501.08540773391724
64,100, , ,128,96,10,balanced,sockets,9.499845,1896.2327877219448,619.9581470489502
48,100, , ,32,256,80,disabled,sockets,9.529905,1919.6418920806564,731.7371907234192
48,100, , ,4,32,100,disabled,sockets,9.54576,1934.3427802299905,847.6334791183472
64,100, , ,32,256,160,compact,sockets,9.457519999999999,1935.1206273280982,966.7694253921509
64,100, ,#pragma omp parallel for,128,32,100,disabled,sockets,9.512135,1989.0862155655427,1087.249136209488
32,100, , ,256,128,160,balanced,sockets,9.40057,2014.9423925626297,1203.4129977226257
64,100, ,#pragma omp parallel for,64,32,10,balanced,cores,9.56466,2016.5518800829805,1326.6970286369324
64,100,#pragma clang loop unrolling full, ,64,2,128,disabled,cores,9.404175,2035.3185809522663,1440.041286945343
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,128,disabled,threads,9.446895,2063.0316050106007,1562.3653042316437
32,100,#pragma clang loop unrolling full, ,2,32,128,disabled,sockets,9.479205,2073.898623050249,1685.6250500679016
32,100, ,#pragma omp parallel for,16,256,64,disabled,cores,9.477725,2086.252338877455,1802.9492473602295
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,32,128,disabled,cores,9.519545,2086.2951330061383,1914.7693202495575
32,100, ,#pragma omp parallel for,64,128,160,none,sockets,9.455485,2091.071935828606,2025.7819273471832
64,100,#pragma clang loop unrolling full, ,64,96,80,disabled,sockets,9.46405,2093.0403650058643,2141.37708568573
64,100, ,#pragma omp parallel for,4,256,100,compact,threads,9.478975,2099.9996906838032,2264.265572309494
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,32,100,disabled,sockets,9.45288,2103.324026360465,2404.8893320560455
32,100, , ,256,256,10,disabled,sockets,9.45829,2107.170953928783,2542.6095037460327
64,100, , ,16,4,10,explicit,threads,9.451245,2130.6713655690505,2720.221507549286
64,100, , ,96,32,128,compact,sockets,9.480084999999999,2159.566638501902,2849.07706284523
32,100,#pragma clang loop unrolling full, ,4,32,100,compact,sockets,9.28614,2171.385657045088,2976.2612850666046
48,100, , ,2,4,128,scatter,sockets,9.47475,2202.4356689086753,3095.2572572231293
32,100, ,#pragma omp parallel for,128,2,128,balanced,cores,9.315494999999999,2209.3473851774174,3209.4973270893097
32,100, , ,2,64,200,disabled,threads,9.32354,2211.508260379476,3324.7451646327972
64,100,#pragma clang loop unrolling full, ,2,32,40,compact,sockets,9.40142,2218.8333694395,3440.9658205509186
64,100,#pragma clang loop unrolling full, ,32,4,80,scatter,sockets,9.450985,2221.4383803483033,3553.321551799774
64,100,#pragma clang loop unrolling full, ,64,256,10,disabled,cores,9.459225,2228.2105551689674,3666.325376033783
