p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,4,64,80,balanced,cores,2.34119,1.1049695907432462,43.23392868041992
48,100, , ,32,256,40,compact,threads,2.3564249999999998,1.1079551067884175,86.10956573486328
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,80,balanced,cores,2.348755,1.1217929159799445,131.6934151649475
48,100, , ,64,2,80,balanced,cores,2.3507249999999997,1.1467789603447542,172.26102876663208
32,200,#pragma clang loop unrolling full, ,96,2,100,balanced,cores,2.359215,1.1525152319949923,214.7130777835846
32,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,8,160,disabled,cores,2.328595,1.1536744019118743,259.07324051856995
32,100,#pragma clang loop unrolling full, ,64,64,10,disabled,sockets,2.360115,1.1648844949307406,305.16117000579834
48,200, ,#pragma omp parallel for,256,256,20,balanced,sockets,2.35949,1.16685353663394,354.42146015167236
32,200, , ,4,256,10,balanced,sockets,2.35936,1.1686638347744527,396.14503741264343
48,100, ,#pragma omp parallel for,96,4,200,balanced,sockets,2.36121,1.170247793580907,439.5450918674469
48,200,#pragma clang loop unrolling full, ,256,32,40,disabled,cores,2.368735,1.179486873485525,484.5250599384308
48,200, , ,16,4,10,balanced,sockets,2.336205,1.184222496146938,526.1611156463623
32,100,#pragma clang loop unrolling full, ,96,64,10,balanced,sockets,2.33229,1.1851001254414781,570.245153427124
32,200, ,#pragma omp parallel for,256,256,160,disabled,cores,2.347045,1.1870925815728306,613.3691430091858
32,200,#pragma clang loop unrolling full, ,256,256,64,disabled,sockets,2.33272,1.1877583533331513,654.7210185527802
48,200, ,#pragma omp parallel for,32,16,20,balanced,cores,2.349555,1.1881672745530252,697.729341506958
48,100, , ,2,8,80,balanced,sockets,2.3524450000000003,1.190786173403397,743.349039554596
32,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,160,balanced,cores,2.36059,1.192242535054759,789.4295380115509
48,100, , ,64,4,80,balanced,cores,2.35696,1.1926518214188917,833.1619453430176
32,200,#pragma clang loop unrolling full, ,64,16,160,balanced,sockets,2.43321,1.1930653438501237,877.689001083374
48,200,#pragma clang loop unrolling full, ,32,96,80,balanced,cores,2.372305,1.1946495971710016,920.4816174507141
48,100, , ,256,32,64,disabled,sockets,2.3761349999999997,1.1949097307663097,966.4296281337738
64,200, , ,64,4,128,balanced,cores,2.369745,1.1967903165580172,1009.3010444641113
48,200, , ,32,32,128,disabled,cores,2.358295,1.1970861946321356,1053.361082315445
32,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,32,128,balanced,sockets,2.3495850000000003,1.200846351231356,1094.6377375125885
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,32,100,disabled,cores,2.36626,1.2013609196209578,1137.7771034240723
48,100, , ,16,4,80,disabled,sockets,2.36451,1.2037985402762736,1182.5732879638672
48,100,#pragma clang loop unrolling full, ,256,32,64,balanced,cores,2.4458900000000003,1.2040525437978682,1227.2691221237183
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,64,balanced,sockets,2.36328,1.2047968121831603,1269.9930334091187
32,200,#pragma clang loop unrolling full, ,256,2,200,balanced,cores,2.341315,1.2061078207903224,1314.0297527313232
