p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
192,1000, , ,64,16,200,disabled,threads,5.050929999999999,29.475822925567627
48,640,#pragma clang loop unrolling full,#pragma omp parallel for,8,128,10,compact,sockets,4.80258,58.10218954086304
4,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,10,balanced,cores,24.704635,146.33013200759888
192,1600, ,#pragma omp parallel for,4,4,200,disabled,cores,5.06416,176.2259876728058
256,1280,#pragma clang loop unrolling full,#pragma omp parallel for,96,8,40,none,sockets,5.19143,206.68101406097412
96,1000,#pragma clang loop unrolling full,#pragma omp parallel for,32,32,40,balanced,sockets,4.730255,235.31584525108337
64,1000,#pragma clang loop unrolling full, ,16,96,64,scatter,threads,4.684189999999999,263.5897316932678
8,1000, ,#pragma omp parallel for,128,4,10,none,sockets,12.493970000000001,315.4386191368103
32,200, ,#pragma omp parallel for,4,4,160,balanced,cores,4.708595,344.1693911552429
2,100, , ,32,4,160,disabled,sockets,49.65629,507.3201553821564
2,2000,#pragma clang loop unrolling full, ,96,96,160,explicit,cores,49.383355,669.8413891792297
192,400, , ,64,32,80,compact,threads,5.0221350000000005,705.3621437549591
64,100,#pragma clang loop unrolling full, ,4,128,160,scatter,cores,4.80371,735.708126783371
192,200,#pragma clang loop unrolling full, ,64,2,200,explicit,cores,4.736875,764.1825151443481
192,640, , ,128,256,10,compact,cores,4.907195,792.8409433364868
4,1280,#pragma clang loop unrolling full, ,256,2,100,compact,threads,29.28214,894.5844645500183
128,1000,#pragma clang loop unrolling full,#pragma omp parallel for,8,96,20,explicit,cores,5.33647,924.7316477298737
96,2000, , ,16,4,128,disabled,sockets,5.26276,954.335129737854
8,2000,#pragma clang loop unrolling full, ,128,256,80,none,sockets,12.624395,1006.6148946285248
256,400,#pragma clang loop unrolling full, ,128,64,160,balanced,threads,4.893155,1036.5108890533447
96,1280, ,#pragma omp parallel for,2,2,160,disabled,cores,4.9100649999999995,1066.3781905174255
96,1280,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,10,explicit,threads,4.887205,1095.6544163227081
256,1600, , ,64,256,20,balanced,cores,5.247170000000001,1125.4647324085236
8,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,200,explicit,threads,12.53395,1177.2471454143524
96,100, , ,8,96,40,scatter,sockets,4.69766,1205.3927009105682
192,200, , ,96,256,64,scatter,cores,4.786835,1233.8473975658417
48,800, , ,64,128,200,none,threads,4.74721,1262.3174350261688
96,1000, ,#pragma omp parallel for,128,256,64,balanced,cores,4.85023,1291.252675294876
192,400, ,#pragma omp parallel for,16,64,40,compact,sockets,4.857995,1320.410319328308
8,1280, , ,8,64,20,disabled,cores,12.47825,1371.7020175457
16,800,#pragma clang loop unrolling full, ,256,16,200,none,sockets,6.50925,1406.0041785240173
16,2000,#pragma clang loop unrolling full,#pragma omp parallel for,128,64,128,explicit,threads,6.395105,1439.7821536064148
256,1000,#pragma clang loop unrolling full, ,32,64,128,disabled,threads,5.23794,1469.6894857883453
64,640, ,#pragma omp parallel for,8,96,40,compact,sockets,4.74618,1498.117561340332
4,2000, ,#pragma omp parallel for,96,2,80,explicit,threads,24.780895,1587.0224537849426
48,1280,#pragma clang loop unrolling full, ,32,128,80,compact,cores,4.74435,1615.192708492279
96,1280,#pragma clang loop unrolling full, ,96,16,200,explicit,cores,4.7816600000000005,1643.4934060573578
192,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,40,none,threads,4.88935,1673.4885499477386
