p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
2,sockets,master,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.40699,103.33210730552673
256,sockets,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,5.43723,185.3312635421753
32,cores,close,static, ,#pragma unroll (6),#pragma omp for nowait, ,5.39336,267.3365948200226
96,threads,spread,static, , ,#pragma omp for nowait, ,5.41275,349.3310272693634
16,cores,spread,static,#pragma omp parallel for, ,#pragma omp for nowait, ,5.41057,433.3310432434082
96,threads,master,dynamic, ,#pragma unroll,#pragma omp for, ,5.3892,515.8239424228668
256,cores,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.40346,599.3822677135468
96,sockets,master,dynamic, ,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.40643,683.3825752735138
128,cores,close,static, ,#pragma unroll (6),#pragma omp for, ,5.39203,765.6306958198547
8,sockets,master,dynamic, ,#pragma unroll,#pragma omp for, ,5.38769,847.7953617572784
64,sockets,close,dynamic, ,#pragma unroll,#pragma omp for, ,5.35958,929.3832693099976
96,sockets,close,dynamic, ,#pragma unroll,#pragma omp for, ,5.38879,1011.383492231369
256,sockets,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,5.38452,1093.3842792510986
192,sockets,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,5.3544,1175.3837053775787
256,sockets,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.37083,1259.3824346065521
32,sockets,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,5.41093,1343.3824334144592
128,cores,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,5.40398,1427.3836658000946
32,sockets,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,5.38826,1509.3835756778717
128,sockets,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,5.3924,1591.383710384369
96,sockets,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,5.40937,1673.4661371707916
256,sockets,close,dynamic, ,#pragma unroll,#pragma omp for, ,5.40655,1755.3837068080902
16,sockets,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,5.40321,1837.877554655075
48,sockets,close,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,5.39511,1919.8921029567719
8,sockets,close,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,5.40378,2001.9652073383331
16,sockets,master,dynamic, ,#pragma unroll,#pragma omp for, ,5.40092,2083.842069864273
48,sockets,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,5.38188,2165.6779441833496
256,sockets,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,5.41139,2247.7184863090515
256,sockets,close,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,5.39417,2329.594316005707
4,sockets,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,5.39584,2411.595134496689
48,sockets,close,dynamic, ,#pragma unroll,#pragma omp for, ,5.38187,2493.5944464206696
