p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
2,sockets,master,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,8.95094,112.23806142807007
256,sockets,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,8.99818,203.90782761573792
32,cores,close,static, ,#pragma unroll (6),#pragma omp for nowait, ,8.96821,295.90813541412354
96,threads,spread,static, , ,#pragma omp for nowait, ,8.98583,387.9080934524536
16,cores,spread,static,#pragma omp parallel for, ,#pragma omp for nowait, ,8.99144,480.1964211463928
96,threads,master,dynamic, ,#pragma unroll,#pragma omp for, ,8.99011,572.321827173233
256,cores,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,9.01997,666.0096209049225
48,threads,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,8.98505,758.1328647136688
16,sockets,spread,static, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,8.99783,850.3387236595154
4,sockets,master,static,#pragma omp parallel for, ,#pragma omp for, ,8.99961,942.5446977615356
96,threads,master,static,#pragma omp parallel for, ,#pragma omp for, ,9.01023,1036.0438249111176
48,sockets,master,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,9.07562,1132.2084739208221
192,sockets,master,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,9.07269,1234.0440080165863
192,sockets,close,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,9.03685,1332.0426120758057
64,cores,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,9.05662,1430.0451550483704
32,sockets,master,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,9.04669,1528.0439314842224
192,sockets,spread,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,9.06411,1626.0441043376923
8,sockets,master,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,9.05556,1724.0440604686737
48,threads,master,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,9.03822,1822.044080734253
192,sockets,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,9.06773,1920.0438101291656
192,threads,spread,static, ,#pragma unroll,#pragma omp for nowait, ,9.06163,2018.0439186096191
2,sockets,master,static, ,#pragma unroll (6),#pragma omp for, ,9.04172,2118.043803215027
8,cores,spread,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,9.04698,2216.0441098213196
96,sockets,master,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,9.06384,2314.042896747589
96,cores,close,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,9.07054,2414.0430660247803
128,cores,close,static, ,#pragma unroll (6),#pragma omp for nowait, ,9.07112,2512.373121738434
16,sockets,close,static,#pragma omp parallel for, ,#pragma omp for nowait, ,9.03582,2614.1731793880463
16,threads,close,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,9.05308,2712.3382172584534
48,cores,spread,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,9.03634,2812.0492510795593
256,threads,master,dynamic, , ,#pragma omp for, ,9.04806,2910.050094127655
