p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,t0,t1,t2,t3,t4,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,16,80,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,490,545,600,655,710,1.844376,16.504136085510254
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,2048,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.517404,103.527357339859
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,2048,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.424388,155.87952613830566
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,20,16,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.986725,199.34086155891416
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,16,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,490,545,600,655,710,0.493994,267.1799838542938
 , , ,100,16,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.400085,309.58431601524353
 , , ,32,128,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,490,545,600,655,710,0.3949205,343.5239927768707
 , , ,100,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.384028,383.1638352870941
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.449964,417.95653080940247
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,2048,4, , , , ,490,545,600,655,710,0.386874,452.799332857132
