p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,t0,t1,t2,t3,t4,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,16,80,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,110,120,130,140,150,0.018501,11.876230239868164
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),110,120,130,140,150,0.0043365,54.16820645332336
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),110,120,130,140,150,0.004151,92.49303126335144
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),110,120,130,140,150,0.003992,127.66026973724364
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,50,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),110,120,130,140,150,0.00432,187.00769329071045
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,120,130,140,150,0.004313,241.1718537807465
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),110,120,130,140,150,0.005084,313.6442677974701
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,120,130,140,150,0.0039435,352.03658628463745
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,20,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,120,130,140,150,0.0038485,398.3599863052368
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,120,130,140,150,0.0038399999999999,436.9600014686585
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,120,130,140,150,0.003615,481.0809350013733
 , , ,20,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),110,120,130,140,150,0.0039065,525.5033407211304
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,128,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,110,120,130,140,150,0.0044355,617.6316945552826
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,8,256, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),110,120,130,140,150,0.021151,651.4206409454346
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,120,130,140,150,0.003758,707.5439684391022
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,20,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),110,120,130,140,150,0.0053504999999999,749.7360792160034
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,110,120,130,140,150,0.003749,785.6273863315582
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,120,130,140,150,0.0039155,838.8922078609467
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,80,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,110,120,130,140,150,0.0036715,900.3034048080444
