p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
192,200, , ,256,4,80,none,threads,10.21763,130.4769835472107
192,2000,#pragma clang loop unrolling full,#pragma omp parallel for,64,64,64,disabled,cores,10.498809999999999,242.47600102424622
128,100,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,160,compact,cores,10.233645,352.46768951416016
128,640,#pragma clang loop unrolling full, ,128,4,10,compact,threads,10.23046,462.4676933288574
256,400, , ,2,128,200,explicit,cores,10.34333,572.7412810325623
256,400, ,#pragma omp parallel for,4,96,64,none,sockets,10.618155,685.0335133075714
48,1000,#pragma clang loop unrolling full, ,96,2,40,scatter,cores,10.179395,795.3041522502899
32,640,#pragma clang loop unrolling full, ,2,16,200,none,threads,10.13547,905.6080143451691
8,640,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,160,none,threads,25.59798,1155.9382996559143
32,1600, , ,4,16,100,explicit,cores,10.31012,1266.5452826023102
4,800,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,100,none,threads,51.690445,1754.8712430000305
32,1280,#pragma clang loop unrolling full, ,96,8,40,compact,cores,9.979215,1863.1736731529236
32,2000,#pragma clang loop unrolling full, ,96,4,200,compact,cores,9.938805,1969.94957113266
32,1000, , ,96,4,40,none,cores,9.990224999999999,2076.8374316692352
32,1280,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,128,compact,cores,9.879215,2185.243499994278
32,1280,#pragma clang loop unrolling full, ,96,96,10,compact,sockets,10.04008,2292.2880754470825
32,100,#pragma clang loop unrolling full, ,96,8,40,none,cores,9.87167,2399.0022616386414
32,200,#pragma clang loop unrolling full, ,96,8,100,none,cores,9.950700000000001,2507.370898962021
32,400, , ,96,8,40,none,cores,9.997555,2614.298974752426
32,200,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,100,none,cores,9.981905000000001,2722.7283465862274
32,800,#pragma clang loop unrolling full, ,96,8,80,scatter,sockets,9.88337,2831.130141019821
32,100,#pragma clang loop unrolling full, ,96,8,10,none,cores,9.99122,2938.0737569332123
32,1000,#pragma clang loop unrolling full, ,96,4,80,none,cores,9.97983,3046.4871623516083
32,1000,#pragma clang loop unrolling full, ,96,32,10,none,cores,9.945265,3153.370241165161
32,400,#pragma clang loop unrolling full, ,96,4,20,compact,sockets,9.850615000000001,3260.164805173874
32,400,#pragma clang loop unrolling full, ,96,4,160,explicit,sockets,9.90404,3366.9939761161804
32,200,#pragma clang loop unrolling full, ,96,4,64,disabled,sockets,9.959285,3473.868400335312
32,400,#pragma clang loop unrolling full, ,96,96,20,compact,sockets,9.957305000000002,3580.2755794525146
32,400,#pragma clang loop unrolling full, ,96,4,200,balanced,sockets,9.981905000000001,3688.6806099414825
32,200, , ,96,128,100,none,cores,9.98676,3795.5940310955048
