p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
4,40,#pragma clang unrolling full, ,8,16,128,balanced,sockets,1.7162683010101318,1.0393127497739165,44.724400758743286
4,40, , ,8,256,80,scatter,sockets,1.7087209224700928,1.2280263134722074,88.01961135864258
4,200, , ,96,256,20,compact,sockets,1.5964164733886719,1.2580162669559984,131.2323362827301
4,200,#pragma clang unrolling full, ,8,16,128,balanced,sockets,1.7070567607879639,1.296691873886778,174.61550521850586
4,40, , ,8,2,10,scatter,cores,1.7477858066558838,1.337261500826446,218.24849891662598
5,200, , ,2,128,80,scatter,sockets,2.0214736461639404,1.4129561952760046,262.5691409111023
4,10,#pragma clang unrolling full, ,8,128,128,balanced,sockets,1.707763910293579,1.4570554243137255,305.96821808815
4,40, , ,16,16,128,balanced,threads,1.6999423503875732,1.5109286527371681,349.1117630004883
4,10,#pragma clang unrolling full, ,8,96,20,balanced,cores,1.7007720470428467,1.5323960408291648,392.6003386974335
4,128, , ,128,256,80,compact,sockets,1.7114782333374023,1.5489812347793737,436.08010053634644
5,40, , ,16,256,80,balanced,threads,1.8690028190612793,1.5881252856672177,480.10080909729004
4,128, , ,8,128,80,balanced,sockets,1.7475810050964355,1.6146378960177956,523.5153176784515
4,40, , ,128,128,80,balanced,sockets,1.6605393886566162,1.7163922810494183,566.7211139202118
4,80,#pragma clang unrolling full, ,8,256,100,balanced,sockets,1.7316112518310547,1.7378633295691355,610.236368894577
4,200,#pragma clang unrolling full, ,128,8,160,compact,threads,1.6736578941345215,1.741853019447628,653.5848278999329
4,10, , ,96,256,80,balanced,threads,1.6719970703125,1.744915583524203,697.272604227066
4,128,#pragma clang unrolling full, ,96,16,160,scatter,threads,1.6808700561523438,1.7585394499976452,740.6843020915985
5,100, , ,8,256,128,balanced,sockets,1.9583721160888672,1.7963555757254799,784.7915463447571
4,40,#pragma clang unrolling full, ,8,128,128,balanced,sockets,1.6919710636138916,1.8044278840192955,828.0844595432281
4,100, , ,2,8,10,balanced,threads,1.7326247692108154,1.8418756922947077,871.576663017273
4,200,#pragma clang unrolling full, ,64,2,80,balanced,cores,1.7239890098571777,1.8440727968549795,915.0439858436584
4,100, , ,8,256,20,balanced,threads,1.775388240814209,1.8511156042268464,958.5352971553802
4,200,#pragma clang unrolling full, ,8,2,20,scatter,sockets,1.6880216598510742,1.9035575556400448,1001.7846059799194
4,80,#pragma clang unrolling full, ,96,256,10,scatter,sockets,1.7508890628814697,1.9219721036554311,1045.288758277893
4,64,#pragma clang unrolling full, ,8,128,128,scatter,sockets,1.697427749633789,1.9390722971660983,1088.6763188838959
4,10,#pragma clang unrolling full, ,256,2,128,compact,sockets,1.8043513298034668,2.0013489040684402,1132.2637076377869
4,40,#pragma clang unrolling full, ,96,256,64,compact,threads,1.7174444198608398,2.007316585591538,1175.6645591259003
4,40, , ,2,128,128,balanced,sockets,1.6906685829162598,2.0823297995405268,1218.9403808116913
4,40,#pragma clang unrolling full, ,256,16,80,balanced,threads,1.6958622932434082,2.123522599432355,1262.356563091278
4,128, , ,96,2,128,compact,sockets,1.693014144897461,2.1307907733026963,1305.668588399887
