p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
5,40, , ,96,8,128,balanced,sockets,18.130187273025513,5.742083176590867,93.03531336784363
4,40, , ,96,256,80,scatter,sockets,16.52354097366333,7.50894645675703,180.7985122203827
4,40, , ,96,96,20,compact,sockets,16.516780853271484,7.744265363115292,268.47308826446533
4,200, , ,8,8,128,balanced,threads,16.377702713012695,8.035482147034847,355.7657811641693
4,40,#pragma clang unrolling full, ,8,256,10,scatter,sockets,16.463725805282593,8.327945766581728,443.32971119880676
4,200, , ,2,4,80,compact,threads,16.402138471603394,8.843487852718908,530.8075332641602
4,200, , ,8,128,128,balanced,sockets,16.44490933418274,9.128402797195998,618.0995995998383
4,80, , ,8,8,128,balanced,threads,16.476787328720093,9.463284201823335,705.9218621253967
4,10,#pragma clang unrolling full, ,96,96,20,balanced,cores,16.449037313461304,9.593071050408021,793.5068967342377
4,100,#pragma clang unrolling full, ,64,96,80,compact,sockets,16.429283618927002,9.692014668805616,881.0178866386414
4,40, , ,8,96,80,balanced,threads,16.40584111213684,9.921210937351898,968.2731032371521
4,100, , ,8,64,80,balanced,sockets,16.440105676651,10.073192685244278,1056.482483625412
4,40, , ,128,64,80,balanced,threads,16.6528742313385,10.63469402867026,1145.4422054290771
4,80, , ,8,96,100,balanced,threads,16.469343662261963,10.749162360120428,1233.7727901935577
4,40,#pragma clang unrolling full, ,16,2,10,compact,threads,16.396571159362793,10.770290198071118,1321.536635875702
4,100,#pragma clang unrolling full, ,96,8,10,scatter,threads,16.45301604270935,10.858183391582106,1409.2058148384094
4,64, , ,8,96,128,balanced,sockets,16.540350675582886,11.054649379275347,1497.8194007873535
5,40, , ,8,64,128,balanced,sockets,18.04107403755188,11.096114776177712,1591.1174170970917
4,64, , ,256,256,10,balanced,threads,16.76446032524109,11.286397227055039,1680.6056895256042
4,200, , ,4,256,80,balanced,sockets,16.39622402191162,11.297457852194984,1769.4895889759064
4,100, , ,96,96,20,balanced,threads,16.45061945915222,11.332837237288642,1857.220785856247
4,200, , ,8,256,20,scatter,sockets,16.428388833999634,11.59277714474698,1944.9816179275513
4,80, , ,96,96,10,scatter,sockets,16.370171308517456,11.682645249289454,2032.563161611557
4,10,#pragma clang unrolling full, ,8,128,128,scatter,sockets,16.400866985321045,11.765471931724985,2120.273530960083
4,200, , ,256,256,128,compact,sockets,16.451991081237793,12.062244875070457,2207.6267187595367
4,80,#pragma clang unrolling full, ,96,256,64,compact,threads,16.387168884277344,12.090297758269488,2295.2257103919983
4,80, , ,2,4,128,balanced,sockets,16.462973833084106,12.437530825365961,2382.7408525943756
4,80, , ,256,8,80,balanced,cores,16.357651233673096,12.62418342285084,2470.739028453827
4,100, , ,2,256,128,compact,sockets,16.419477224349976,12.656835855295574,2558.4929044246674
4,80,#pragma clang unrolling full, ,2,256,80,balanced,threads,16.554693698883057,12.666909907814553,2646.525843858719
