p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
4,200, , ,96,64,64,balanced,sockets,6.0442235469818115,2.715915188587413,58.10571312904358
4,200, , ,8,128,10,balanced,threads,6.0766191482543945,2.9154265074254755,114.77079033851624
4,80, , ,2,256,128,balanced,threads,6.022898435592651,3.0053500741667043,171.0591733455658
4,40, , ,96,128,20,balanced,threads,6.055970191955566,3.0764445615284757,227.34652090072632
4,64, , ,8,256,20,compact,sockets,6.021284818649292,3.078676961577845,283.7351756095886
4,80,#pragma clang unrolling full, ,256,96,80,balanced,sockets,6.00991153717041,3.236878742567765,340.08254384994507
4,10,#pragma clang unrolling full, ,8,2,64,balanced,sockets,5.991030693054199,3.5524763335249676,396.5985429286957
4,10, , ,8,96,20,scatter,sockets,6.047324180603027,3.7015605253099984,452.94955825805664
4,64, , ,2,8,20,balanced,threads,6.053703784942627,3.751408095212108,509.53018617630005
4,200, , ,256,128,20,balanced,sockets,6.042208909988403,3.7607058442627768,565.8543889522552
4,80, , ,96,256,128,balanced,sockets,6.071094036102295,3.8303057824529763,622.5342223644257
4,80, , ,96,2,128,balanced,threads,6.028365612030029,3.8367870761996152,678.7273106575012
4,40, , ,16,128,20,balanced,sockets,6.119001865386963,3.8549602185947722,735.1272699832916
4,80,#pragma clang unrolling full, ,96,32,10,compact,threads,6.08447790145874,3.858567039947786,791.5120494365692
4,40,#pragma clang unrolling full, ,64,96,64,compact,threads,6.159826040267944,4.294059285673666,848.2356281280518
4,40, , ,8,96,64,balanced,threads,6.093536376953125,4.316339137525237,904.9272491931915
4,160, , ,96,96,64,scatter,sockets,6.052541017532349,4.3772388238007345,961.4117202758789
4,80, , ,2,96,40,scatter,threads,6.023305654525757,4.429480334593834,1017.7313406467438
4,40,#pragma clang unrolling full, ,96,8,80,scatter,sockets,6.063676595687866,4.472303790525044,1074.4114243984222
4,160, , ,8,8,80,compact,sockets,6.082108974456787,4.5540967066049,1131.0504846572876
4,10, , ,8,128,10,balanced,sockets,6.040786981582642,4.565486764955715,1187.3699278831482
4,80, , ,96,32,128,scatter,threads,6.001341342926025,4.613314218033583,1243.6984214782715
4,80, , ,2,8,20,compact,sockets,5.950347661972046,4.64543058376881,1300.0062341690063
4,64, , ,96,96,20,scatter,sockets,6.037153244018555,4.718480078067877,1356.242440700531
4,10,#pragma clang unrolling full, ,2,128,64,balanced,sockets,5.958015441894531,4.744968347232927,1412.8136110305786
4,40,#pragma clang unrolling full, ,2,256,10,balanced,sockets,6.068050861358643,4.7722157290658345,1469.1779341697693
4,20,#pragma clang unrolling full, ,64,256,64,compact,sockets,6.047488689422607,4.791068530077616,1525.650419473648
4,64, , ,96,256,10,balanced,threads,6.008425235748291,4.909859371042561,1581.954743385315
4,40, , ,8,64,80,scatter,threads,6.116929292678833,4.991773589230378,1638.811708688736
4,10, , ,64,8,160,balanced,sockets,6.120973587036133,5.243805207707713,1695.2989451885223
