p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,predicted,elapsed_sec
4,128,#pragma clang unrolling full, ,2,256,80,compact,threads,1.6883060932159424,1.1176245148124786,45.085503816604614
4,80, , ,16,96,20,compact,sockets,1.6915080547332764,1.1452133824281037,88.24095630645752
4,80, , ,256,128,128,compact,sockets,1.7629382610321045,1.3371200359288542,131.85660910606384
4,160,#pragma clang unrolling full, ,8,32,20,compact,threads,1.6428616046905518,1.3823158172978383,175.18477392196655
4,200,#pragma clang unrolling full, ,96,2,64,balanced,sockets,1.6519711017608643,1.3885241750710087,218.74438786506653
4,200,#pragma clang unrolling full, ,8,96,100,balanced,sockets,1.6636085510253906,1.388666899383176,262.07737922668457
5,128, , ,96,2,128,balanced,threads,1.8768513202667236,1.404493282834737,306.12504959106445
5,200,#pragma clang unrolling full, ,8,128,80,balanced,cores,1.8669028282165527,1.4085835948654992,350.1406960487366
4,200, , ,32,8,80,scatter,sockets,1.7082202434539795,1.4305057700105444,393.4735779762268
4,10,#pragma clang unrolling full, ,4,96,80,compact,cores,1.6927454471588135,1.4534303054517363,436.9493329524994
4,64,#pragma clang unrolling full, ,96,256,80,balanced,sockets,1.5736875534057617,1.4609839618838945,480.0894923210144
4,100,#pragma clang unrolling full, ,2,64,20,compact,sockets,1.5821762084960938,1.4737479927994008,523.4575726985931
5,40,#pragma clang unrolling full, ,256,16,100,scatter,threads,1.9530320167541504,1.4840264208234295,567.7895495891571
4,10, , ,8,96,128,scatter,threads,1.7437257766723633,1.5106709765725919,611.4891836643219
4,10, , ,8,64,64,compact,sockets,1.656844139099121,1.579624348058673,654.6574716567993
4,200, , ,128,2,20,balanced,sockets,1.6618120670318604,1.6725349231730138,697.7725098133087
4,80,#pragma clang unrolling full, ,2,256,64,scatter,sockets,1.6672449111938477,1.6869042464058772,741.2244966030121
5,80, , ,8,96,80,compact,sockets,1.9737880229949951,1.6879846929921187,785.5567440986633
4,128, , ,2,2,64,balanced,sockets,1.5843579769134521,1.6988730137739187,828.6857922077179
4,200, , ,2,4,80,scatter,threads,1.7685317993164062,1.7093153313035052,872.2208504676819
4,80,#pragma clang unrolling full, ,256,256,10,balanced,sockets,1.6086790561676025,1.7104683942785122,915.5216612815857
4,40, , ,96,32,80,scatter,cores,1.7157728672027588,1.7160469955261817,958.9697246551514
4,200,#pragma clang unrolling full, ,96,2,10,balanced,sockets,1.6926584243774414,1.7569547566386072,1002.3900220394135
5,10,#pragma clang unrolling full, ,128,2,80,balanced,threads,1.9283368587493896,1.7616691564895528,1046.4177765846252
4,64,#pragma clang unrolling full, ,128,256,10,scatter,threads,1.751828670501709,1.8261328181096164,1090.0536167621613
4,100,#pragma clang unrolling full, ,8,2,20,compact,sockets,1.5950920581817627,1.8450782168433792,1133.3094155788422
5,80,#pragma clang unrolling full, ,64,96,64,compact,cores,1.9924342632293701,1.8458607434467829,1177.4454865455627
4,10,#pragma clang unrolling full, ,8,128,40,balanced,sockets,1.7168951034545898,1.8487952626654311,1220.8094453811646
5,40, , ,16,2,128,scatter,cores,1.911278486251831,1.8488820638592847,1264.8204762935638
4,80, , ,8,128,10,scatter,sockets,1.7720658779144287,1.8530558870849876,1308.6095254421234
