p0,p1,p2,p3,p4,p5,objective,elapsed_sec
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,64,0.582743,10.188323974609375
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,100,0.5867495,18.901357650756836
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,32,32,0.56193,29.329319953918457
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,256,0.48043199999999997,38.83800458908081
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,80,0.208589,51.80806517601013
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,8,80,0.521633,62.19134330749512
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,8,0.4803595,72.35810041427612
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,64,128,0.857533,84.31454515457153
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,100,8,0.7429175,95.41990685462952
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,16,20,0.5303325,104.33565998077393
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,100,0.52651,113.87328791618347
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,50,16,0.9431970000000001,124.17760920524597
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,16,128,0.9371685,134.80453824996948
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,100,256,0.488481,143.97963619232178
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,8,16,0.7351125000000001,159.54816603660583
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,32,0.2608795,176.94108176231384
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,100,20,0.514927,187.49705696105957
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,32,0.489284,197.1151487827301
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,8,20,0.8298435,209.8484992980957
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,4,0.7989295,220.0835883617401
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,64,32,0.475684,228.37564969062805
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,32,0.4549105,238.50915002822876
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,16,4,1.2844605,250.83427143096924
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,20,256,0.5153435,261.0309467315674
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,16,100,0.5320860000000001,269.98867177963257
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,64,128,0.5471159999999999,278.7088041305542
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,50,4,1.2922829999999998,290.84181451797485
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,8,20,0.4523895,302.6962881088257
 , , ,20,50,128,0.610419,311.7366328239441
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,50,8,0.93074,323.29760909080505
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,20,0.4520115,331.38561606407166
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,20,0.56288,339.63399362564087
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,64,0.45668600000000004,349.2477536201477
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,8,8,0.9918215,365.9953980445862
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,8,50,0.4762515,377.5315272808075
 , , ,80,8,8,0.49961049999999996,388.2405114173889
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,16,0.4850585,397.10187220573425
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,64,0.169132,406.3763475418091
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,100,0.507406,415.13005900382996
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,32,0.4712415,423.61100459098816
 , , ,16,32,100,0.68915,432.61182618141174
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,20,0.474213,443.9832649230957
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,16,64,0.7841225000000001,455.17014932632446
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,50,256,0.510148,464.901654958725
 , , ,128,8,16,0.446881,474.6395754814148
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,4,256,0.475103,484.868864774704
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,128,0.48910549999999997,495.2522032260895
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,20,0.5044744999999999,504.04723834991455
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,50,20,0.9647245,514.8736293315887
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,32,128,0.521009,524.3055984973907
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,50,8,0.7415905,534.5654468536377
 , , ,100,50,16,0.461059,542.4774191379547
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,64,32,0.6327389999999999,552.0577008724213
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,2048,100,0.613892,561.4376232624054
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,80,4,1.221889,572.8460946083069
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,32,0.46123749999999997,580.8318388462067
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,100,50,0.864932,590.8755338191986
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,32,0.5382355,603.2550599575043
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,8,0.5710975,612.9246797561646
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,32,128,0.8067565,622.5573921203613
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,50,0.5072530000000001,635.2916378974915
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,256,0.616896,645.8218760490417
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,20,0.556315,654.5162019729614
 , , ,64,64,50,0.6165205,662.9561049938202
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,4,20,0.8013305,674.6109776496887
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,32,0.2649985,687.447386264801
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,4,0.618797,697.1733567714691
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,2048,80,0.7812065,707.512050151825
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,128,0.166357,716.8189752101898
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,128,0.581112,725.7111763954163
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,128,0.565743,735.4454653263092
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,128,256,0.5278445,743.8652963638306
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,20,0.3010955,753.4395785331726
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,80,0.4916705,761.6224117279053
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,0.635802,770.1229026317596
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,64,8,0.6345585,781.0868799686432
 , , ,64,2048,50,0.6084755,789.8942093849182
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,64,0.5786965,798.3946726322174
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,50,80,0.5350195,807.6624557971954
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,20,4,0.7000275,817.5649297237396
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,16,50,0.5880515,826.4133937358856
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,16,0.5516755,837.261880159378
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,8,64,0.205638,850.392379283905
 , , ,64,128,100,0.6235815,861.2410655021667
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,256,0.4924325,874.6861019134521
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,32,0.4689255,886.7352769374847
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,128,256,0.48023550000000004,897.144280910492
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,64,8,0.5591385,905.827755689621
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,16,0.468936,914.6058459281921
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,100,4,0.7101525,925.0960464477539
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,80,16,0.4684445,934.9979038238525
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,128,8,0.488446,945.2291882038116
 , , ,8,50,16,0.471157,954.4123919010162
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,128,256,0.17169,964.3772616386414
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,256,0.489468,973.6138055324554
 , , ,4,2048,80,0.6725255,983.9754252433777
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,128,0.25955249999999996,995.4843101501465
