p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
5,80,#pragma clang unrolling full,#pragma omp parallel for,256,16,80,scatter,sockets,0.9196920394897461,128.62236142158508
6,100, ,#pragma omp parallel for,32,64,40,compact,threads,1.1679694652557373,170.32203793525696
5,10,#pragma clang unrolling full,#pragma omp parallel for,128,64,80,balanced,threads,0.9725468158721924,210.2905797958374
4,64, ,#pragma omp parallel for,16,2,128,compact,sockets,1.0524420738220215,250.32248497009277
8,40, , ,256,128,80,compact,threads,1.0347747802734375,297.5985770225525
8,200, ,#pragma omp parallel for,8,8,100,compact,cores,1.160280466079712,339.92963218688965
4,200,#pragma clang unrolling full, ,96,16,100,balanced,sockets,0.9353370666503906,384.3097276687622
8,200,#pragma clang unrolling full, ,64,128,80,balanced,sockets,1.3271558284759521,430.6413505077362
5,100,#pragma clang unrolling full,#pragma omp parallel for,256,32,80,scatter,sockets,1.1198632717132568,474.9660837650299
5,64,#pragma clang unrolling full, ,32,256,80,balanced,sockets,1.0316681861877441,519.3089771270752
5,200,#pragma clang unrolling full, ,8,64,80,balanced,threads,0.9437041282653809,563.9364819526672
5,200,#pragma clang unrolling full, ,16,256,80,balanced,cores,0.918677568435669,608.2813665866852
4,200,#pragma clang unrolling full, ,64,8,80,balanced,threads,1.135655164718628,655.0774466991425
5,200,#pragma clang unrolling full,#pragma omp parallel for,2,16,10,balanced,sockets,0.9120421409606934,697.4364261627197
5,200,#pragma clang unrolling full, ,4,16,40,balanced,cores,0.9434270858764648,743.8255412578583
5,200, ,#pragma omp parallel for,4,16,128,balanced,sockets,1.1273961067199707,786.2732465267181
5,200,#pragma clang unrolling full, ,96,16,160,balanced,threads,0.9348821640014648,830.6670186519623
7,200,#pragma clang unrolling full, ,16,16,40,balanced,threads,1.0155928134918213,875.1973538398743
6,200,#pragma clang unrolling full, ,8,16,80,balanced,cores,1.0678339004516602,921.5986757278442
5,200,#pragma clang unrolling full, ,32,16,64,compact,sockets,1.1774930953979492,968.0875110626221
5,200,#pragma clang unrolling full,#pragma omp parallel for,4,16,200,balanced,cores,1.0225977897644043,1010.5306177139282
5,200,#pragma clang unrolling full, ,128,16,80,balanced,threads,0.9480032920837402,1054.975826740265
5,200,#pragma clang unrolling full,#pragma omp parallel for,256,16,20,balanced,sockets,1.2128794193267822,1097.4716184139252
5,160,#pragma clang unrolling full, ,256,16,20,balanced,threads,1.139723539352417,1143.9181292057037
5,200,#pragma clang unrolling full, ,16,96,80,balanced,cores,0.91066575050354,1188.3635754585266
5,200,#pragma clang unrolling full,#pragma omp parallel for,16,128,80,scatter,cores,1.0604403018951416,1230.8376984596252
