p0,p1,p2,p3,p4,p5,p6,p7,p8,isize,objective,elapsed_sec
7,40, , ,128,16,100,balanced,cores,125,7.123857975006104,65.29371690750122
8,128,#pragma clang unrolling full,#pragma omp parallel for,16,256,64,balanced,threads,125,7.18895411491394,123.1894600391388
5,200,#pragma clang unrolling full, ,4,64,128,compact,threads,125,6.6519930362701425,181.24852538108826
5,40,#pragma clang unrolling full, ,4,4,80,scatter,threads,125,6.811922311782838,239.9732925891876
8,200, ,#pragma omp parallel for,32,4,200,scatter,cores,125,7.032899618148804,296.880627155304
7,160,#pragma clang unrolling full, ,96,96,40,balanced,cores,125,7.158851623535156,356.6724956035614
4,80,#pragma clang unrolling full,#pragma omp parallel for,128,128,10,compact,cores,125,6.139413118362428,410.4681165218353
6,64, , ,8,8,64,compact,sockets,125,6.501281976699829,468.6008532047272
8,64,#pragma clang unrolling full, ,96,64,200,scatter,sockets,125,7.092097282409668,528.6443130970001
4,10,#pragma clang unrolling full,#pragma omp parallel for,2,2,128,compact,cores,125,6.114299535751343,582.6123757362367
4,10, ,#pragma omp parallel for,64,96,100,balanced,sockets,125,6.183265924453735,636.9477460384369
6,160, , ,8,16,20,balanced,threads,125,6.404741525650024,694.5453803539276
6,20, ,#pragma omp parallel for,256,128,160,scatter,sockets,125,6.448620796203612,749.5528280735016
7,80,#pragma clang unrolling full,#pragma omp parallel for,32,32,10,scatter,threads,125,7.141693592071532,806.2576479911804
5,100, , ,64,4,20,compact,sockets,125,6.705042600631714,864.8536062240601
7,80, , ,4,16,40,balanced,threads,125,7.100797414779662,993.6373784542084
7,40, , ,32,256,40,scatter,threads,125,7.2047119140625,1112.8845183849337
7,40,#pragma clang unrolling full, ,8,96,200,balanced,cores,125,7.083116054534912,1325.136446475983
8,200, , ,256,64,20,compact,threads,125,6.86342978477478,1445.1446838378906
7,80, , ,64,32,160,balanced,cores,125,7.140405654907228,1640.932321548462
5,100, ,#pragma omp parallel for,256,32,128,scatter,cores,125,6.787987232208253,1857.7690620422366
6,128,#pragma clang unrolling full,#pragma omp parallel for,16,64,200,balanced,cores,125,6.515917539596558,2077.837313175201
5,80, , ,64,96,40,scatter,cores,125,6.864566087722777,2194.672907590866
8,100, ,#pragma omp parallel for,128,16,10,compact,threads,125,7.318856954574585,2422.996531248093
7,80,#pragma clang unrolling full, ,96,16,10,scatter,threads,125,7.064475297927856,2639.320103645325
6,100,#pragma clang unrolling full, ,32,16,20,balanced,cores,125,6.692964792251588,2842.801249027252
6,128,#pragma clang unrolling full, ,64,2,64,compact,sockets,125,6.523688554763794,3083.3323702812195
8,200, , ,256,96,100,balanced,sockets,125,6.928006410598755,3329.5053386688232
7,20, , ,16,128,100,compact,cores,125,7.082963943481445,3436.392552614212
5,40,#pragma clang unrolling full, ,256,96,128,scatter,threads,125,6.739919185638428,3688.5559005737305
